planner,num_episodes,successes,success_rate,initial_failures,recovered_initial_failures,conditional_recovery_rate,conditional_recovery_wilson_low,conditional_recovery_wilson_high,mean_trials,mean_final_object_goal_distance,mean_rollout_steps,mean_probe_steps,mean_total_environment_steps,mean_final_trial_approach_steps,mean_final_trial_push_steps,mean_final_trial_near_goal_steps,mean_recovery_trial_steps
probe_rule:phase_aware,20,20,1.0,11,11,1.0,0.7411670330319684,1.0,1.55,0.048347673843703205,360.65,17.6,378.25,37.85,32.75,15.05,69.0
probe_rule:whole,20,20,1.0,11,11,1.0,0.7411670330319684,1.0,1.55,0.04836889406458691,356.05,17.6,373.65,35.8,30.15,15.1,60.63636363636363
