episode_id,seed,candidate_skill,verification_status,steps,observed_progress,final_object_goal_distance,evaluator_only
44,4352,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,96,0.11008141750193687,0.0493190501909703,True
45,4354,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,120,0.17095816822659998,0.04867919345213573,True
45,4354,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.00018664169724247337,0.21982400337597818,True
46,4355,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,52,0.1857891114576772,0.047749584609417896,True
46,4355,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,57,0.18418654564729575,0.04935215041979933,True
47,4360,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,133,0.17956705585406,0.049255787568391274,True
47,4360,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.0761836855245103,0.30500652894696156,True
48,4361,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,500,0.024354164160422714,0.19284235666903768,True
48,4361,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,107,0.16866427725643546,0.04853224357302492,True
49,4362,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,-0.014311391866451584,0.40971990793731644,True
49,4362,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,354,0.34563124773430043,0.049777268336564415,True
50,4365,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,76,0.18869633436763428,0.046592527789208964,True
50,4365,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,76,0.1891302436675611,0.04615861848928217,True
51,4367,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,69,0.16959084871194446,0.045638303778314626,True
51,4367,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,67,0.1693399843006443,0.04588916818961479,True
52,4369,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,500,0.07491717712280335,0.12430048905222793,True
52,4369,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.1016946954238927,0.300912361598924,True
53,4370,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,-0.03371619352673927,0.2005551280675414,True
