experiment_run_id,manifest_id,episode_id,seed,condition_id_oracle_evaluator_only,outcome_partition_evaluator_only,acr_selected_skill,acr_decision_reason,acr_compensation_accept_probability,acr_retry_accept_probability,acr_compensation_utility,acr_retry_utility,acr_selected_exclusive_winner,progress_to_goal,final_object_goal_distance,temporal_uncertainty,phase_inconsistency,estimated_drift_x,estimated_drift_y,normalized_residual_norm,probe_estimated_bias_x,probe_estimated_bias_y,probe_estimated_bias_std_norm,probe_relative_bias_std,probe_mean_estimation_residual,probe_dominant_axis_sign_agreement
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,2,1101,fault_02,COMPENSATION_ONLY_RECOVERY,,ABSTAIN_COLD_START,0.3333333333333333,0.3333333333333333,0.5,0.5,False,-3.5414176250969653e-06,0.2325301028629524,0.9079890186960476,0.8422820585765869,-0.0002909250708464763,8.144367725746533e-05,1.2851466093317088,-0.22594369080580365,-0.05515602430108571,1.0566559393066613e-15,4.543223629423754e-15,3.2880281707518935e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,3,1102,fault_03,COMPENSATION_ONLY_RECOVERY,,ABSTAIN_COLD_START,0.4899174912401138,0.25504125437994307,0.6174381184300853,0.3825618815699146,False,-1.0730294146055197e-05,0.29651707507906644,0.8842294263469698,0.872408484128355,3.854923553097936e-05,-0.0026816619459298498,1.2337719101836728,-0.0288330325940233,-0.27596183986525546,8.479480243986617e-16,3.0560648296299273e-15,3.252044174509624e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,4,1103,fault_04,COMPENSATION_ONLY_RECOVERY,,ABSTAIN_COLD_START,0.34634724523429217,0.32682637738285386,0.5097604339257191,0.49023956607428076,False,0.00041180666260323684,0.1679896811372864,0.8375453512552974,0.7915999999258994,0.0009990460413297235,-0.0006902239271676208,1.1897563318051687,0.10615201780968982,-0.2361351028765541,2.486642451067234e-15,9.604728452508979e-15,3.2041311398588215e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,6,1105,fault_01,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.5178550751286934,0.20450695792312382,0.6566740586027848,0.30676043688468574,True,-0.002876380474983231,0.23182693930994236,0.8621824819818538,0.9189452318591589,0.0006829396955122321,8.953504385698326e-05,1.2263181246548354,0.09892026427703793,-0.09692517904667591,2.1161009940920925e-15,1.5279719588149377e-14,3.190236423993642e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,8,1107,fault_03,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.5746870193160967,0.17813819136685896,0.6982744139746189,0.26720728705028846,True,-0.028918825421040212,0.262963162729572,0.8888661771901464,0.8967747940604082,-2.2588075374609987e-05,-0.0011526006929835052,1.236463822623983,-0.02883303259402386,-0.27596183986525546,2.5847961907471244e-16,9.315788825506887e-16,3.252044174528968e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,10,1109,fault_05,RETRY_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.45245794156433317,0.24481985663589775,0.5920861058604643,0.3672297849538466,False,0.0033897926720355964,0.18042190081653392,0.978485946338455,0.9782224768825549,4.810649266441754e-05,-2.3979776004920307e-05,1.3837921223566958,-0.2145063775435927,0.0048265484343650855,0.20592813463260637,0.9597664548205052,5.8664521527469884e-05,0.75
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,11,1110,fault_01,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.4745623362132309,0.2610201452603037,0.6133618690100531,0.36801191037434616,True,0.13054736436942016,0.06918020501920878,0.694274538790681,0.7097297155700878,0.0005552733278119664,0.00015808039652043604,0.9819779922425114,0.09892026427703751,-0.09692517904667385,0.0,0.0,3.19023642389303e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,13,1112,fault_03,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.5349918276718715,0.22071902499382923,0.661669726247725,0.30172446728502844,True,-0.004882676662219171,0.19377845762137982,0.9508843637714409,0.9459990209565267,-4.68364863690779e-06,-0.001409484358757971,1.3243332651509634,-0.02883303259402399,-0.27596183986525546,2.238465556469147e-16,8.067588652399647e-16,3.2520441745334327e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,17,1116,fault_02,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.44707450412520783,0.26102036556504143,0.608719887437442,0.3656729287403782,True,-0.2621991262952056,0.5249343011459561,0.7787650271093443,0.760432235705418,-0.0009856982630383183,9.282852930604471e-05,1.1014650686322154,-0.22594369080580431,-0.05515602430108589,0.0,0.0,3.288028170615893e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,18,1117,fault_03,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.5254075835795246,0.19719525541085697,0.6678009825957804,0.27112252328506836,True,-0.009710873968585387,0.21881077546127561,0.8827708980952812,0.9108844558897764,1.072370832940603e-05,-0.0011285149100392767,1.238130345987294,-0.02883303259402386,-0.27596183986525546,2.5847961907471244e-16,9.315788825506887e-16,3.252044174528968e-07,1.0
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,21,1120,fault_01,COMPENSATION_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,SELECT_HIGHER_UTILITY,0.4718172605651282,0.202308796845222,0.6366027047543943,0.2792199393627333,True,-0.01898177787094746,0.2849428147318502,0.8209674497169197,0.903173765143212,0.0009717299744314523,4.6729730947930546e-05,1.18035496100301,0.09892026427703751,-0.09692517904667385,0.0,0.0,3.19023642389303e-07,1.0
