schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps,correction_schedule,approach_steps,push_steps,near_goal_steps
1,probe_rule,x,negative,0.18,11,250,2,x,positive,0.2,True,65,197.49538224619914,80.75409987941384,0.04625768683878839,0.030608953674318755,0.21155989595051147,0.20875732103469752,32,0.49230769230769234,32,0.12307692307692308,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed250_trial02.jsonl,,32,whole,30,30,5
1,probe_rule,x,negative,0.18,12,251,1,none,none,0.0,True,282,126.83972389956615,304.9997000489384,0.04990149417643325,0.03998834400637534,0.15745721581560893,0.15380036530824318,114,0.40425531914893614,114,0.10106382978723404,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed251_trial01.jsonl,,0,whole,168,94,20
1,probe_rule,x,negative,0.18,13,252,1,none,none,0.0,True,87,181.7628371258758,104.93279993534088,0.047777396716404436,0.03463561260520204,0.23531165272036705,0.2265380509893727,38,0.4367816091954023,38,0.10919540229885058,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed252_trial01.jsonl,,0,whole,44,36,7
1,probe_rule,x,negative,0.18,14,253,1,none,none,0.0,False,500,176.9371919885509,563.221599906683,0.10978508946772013,0.041322094502994074,0.04996532531308642,0.04734940893427696,219,0.438,219,0.1095,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed253_trial01.jsonl,,0,whole,322,178,0
1,probe_rule,x,negative,0.18,14,253,2,x,positive,0.2,True,58,161.1310323495359,68.90559988096356,0.0477841106112201,0.03349842374406306,0.11090738598249432,0.10935038779077699,21,0.3620689655172414,21,0.09051724137931035,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed253_trial02.jsonl,,32,whole,33,20,5
1,probe_rule,x,negative,0.18,15,254,1,none,none,0.0,False,500,184.361775095042,491.19720002636313,0.24064981264104085,0.040508832974281345,0.32536130220362514,-0.06543496023037013,132,0.264,133,0.0665,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed254_trial01.jsonl,,0,whole,377,123,0
1,probe_rule,x,negative,0.18,15,254,2,x,positive,0.2,True,57,150.3428996593021,75.10549994185567,0.04567669763166168,0.03175521117829589,0.13150474039584384,0.12953815477900904,21,0.3684210526315789,21,0.09210526315789473,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed254_trial02.jsonl,,32,whole,32,20,5
1,probe_rule,x,negative,0.18,16,255,1,none,none,0.0,False,500,2241.0659957066105,619.3810999393463,0.5268979440966656,0.03725437345920799,0.40210963268262306,-0.27380707476005084,38,0.076,52,0.026,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed255_trial01.jsonl,,0,whole,32,468,0
1,probe_rule,x,negative,0.18,16,255,2,x,positive,0.2,True,63,190.27021936949058,70.00979990698397,0.04879124653145068,0.03445863511690558,0.2077593120739808,0.20429962280516406,25,0.3968253968253968,36,0.14285714285714285,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed255_trial02.jsonl,,32,whole,33,26,4
1,probe_rule,x,negative,0.18,17,256,1,none,none,0.0,True,312,130.0917714866722,311.4499000366777,0.04994051654703812,0.04008787318949064,0.1388766167443507,0.12203765756511789,129,0.41346153846153844,129,0.10336538461538461,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed256_trial01.jsonl,,0,whole,110,64,138
1,probe_rule,x,negative,0.18,18,257,1,none,none,0.0,True,115,114.3488626183156,124.46520011872053,0.04796483742135502,0.03513963415541523,0.16258963413247302,0.16190499009488438,44,0.3826086956521739,44,0.09565217391304348,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed257_trial01.jsonl,,0,whole,58,52,5
1,probe_rule,x,negative,0.18,19,258,1,none,none,0.0,False,500,183.21568395295589,515.926199965179,0.14118574426847919,0.04123527681340776,0.1732945148524933,0.0937557985838885,184,0.368,185,0.0925,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed258_trial01.jsonl,,0,whole,358,142,0
1,probe_rule,x,negative,0.18,19,258,2,x,positive,0.2,True,65,212.09735939490508,82.45380013249815,0.0497940277249938,0.031242940269251646,0.1888714135010377,0.18514751512737387,31,0.47692307692307695,31,0.11923076923076924,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed258_trial02.jsonl,,32,whole,30,30,5
1,probe_rule,x,negative,0.18,20,259,1,none,none,0.0,True,108,109.75097274155578,127.39540007896721,0.04919749120023764,0.03844439973293441,0.19129100022488602,0.17548544300664884,46,0.42592592592592593,46,0.10648148148148148,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\balanced_heldout\trajectories\x_negative\probe_rule_seed259_trial01.jsonl,,0,whole,39,42,27
