experiment_run_id,manifest_id,source_git_commit,method,operational_index,episode_id,seed,decision_timestamp_ns,history_episode_ids,history_size,selected_skill,reason,compensation_alpha,retry_alpha,compensation_mean_utility,retry_mean_utility,probability_compensation_better,selected_predicted_accept_probability,verification_status,selected_accepted,alternative_accepted,any_candidate_accepted,harmful_transfer,missed_recoverable_abstention,probe_steps,verification_steps,total_additional_steps,current_outcome_read_after_decision
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,3,20,2219,163905663117400,"[10, 11]",2,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 1.0, 2.0]","[1.0, 2.0, 1.0]",0.375,0.5,,0.25,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,3,20,2219,163905663179200,"[10, 11]",2,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 1.0, 2.0]","[1.0, 2.0, 1.0]",0.375,0.5,,0.25,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,3,20,2219,163905663250900,"[10, 11]",2,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 1.0, 2.0]","[1.0, 2.0, 1.0]",0.375,0.5,,0.25,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,4,22,2221,163905663541200,"[10, 11, 20]",3,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[2.0, 2.0, 2.0]","[1.0, 1.0, 1.0]",0.5,0.5,,0.3333333333333333,ACCEPTED,True,True,True,False,False,64,65,129,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,4,22,2221,163905663641600,"[10, 11, 20]",3,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[3.0, 2.0, 1.0]",0.5,0.6666666666666666,,0.5,ACCEPTED,True,True,True,False,False,64,102,166,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,4,22,2221,163905663709300,"[10, 11, 20]",3,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[1.0, 2.0, 2.0]","[1.0, 2.0, 1.0]",0.4,0.5,,0.25,ACCEPTED,True,True,True,False,False,64,102,166,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,4,22,2221,163905663772700,"[10, 11, 20]",3,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[1.0, 2.0, 2.0]","[1.0, 2.0, 1.0]",0.4,0.5,,0.25,ACCEPTED,True,True,True,False,False,64,102,166,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,4,22,2221,163905663833200,"[10, 11, 20]",3,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[1.0, 2.0, 2.0]","[1.0, 2.0, 1.0]",0.4,0.5,,0.25,ACCEPTED,True,True,True,False,False,64,102,166,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,5,23,2222,163905663900300,"[10, 11, 20, 22]",4,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[3.0, 2.0, 2.0]","[1.0, 1.0, 1.0]",0.5714285714285714,0.5,,0.42857142857142855,REJECTED,False,False,False,False,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,5,23,2222,163905663974900,"[10, 11, 20, 22]",4,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[4.0, 2.0, 1.0]",0.5,0.7142857142857142,,0.5714285714285714,REJECTED,False,False,False,False,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,5,23,2222,163905664069200,"[10, 11, 20, 22]",4,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 2.0, 2.0]","[2.0, 2.0, 1.0]",0.4,0.6000000000000001,,0.2,REJECTED,False,False,False,False,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,5,23,2222,163905664135300,"[10, 11, 20, 22]",4,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 2.0, 2.0]","[2.0, 2.0, 1.0]",0.4,0.6000000000000001,,0.2,REJECTED,False,False,False,False,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,5,23,2222,163905664196500,"[10, 11, 20, 22]",4,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 2.0, 2.0]","[2.0, 2.0, 1.0]",0.4,0.6000000000000001,,0.2,REJECTED,False,False,False,False,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,6,26,2225,163905664273100,"[10, 11, 20, 22, 23]",5,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[3.0, 2.0, 3.0]","[1.0, 1.0, 1.0]",0.5,0.5,,0.375,ACCEPTED,True,False,True,False,False,64,118,182,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,6,26,2225,163905664338900,"[10, 11, 20, 22, 23]",5,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[4.0, 2.0, 2.0]",0.5,0.625,,0.5,REJECTED,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,6,26,2225,163905664401600,"[10, 11, 20, 22, 23]",5,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[1.0, 2.0, 3.0]","[2.0, 2.0, 1.0]",0.3333333333333333,0.6000000000000001,,0.4,REJECTED,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,6,26,2225,163905664465800,"[10, 11, 20, 22, 23]",5,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[1.0, 2.0, 3.0]","[2.0, 2.0, 1.0]",0.3333333333333333,0.6000000000000001,,0.4,REJECTED,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,6,26,2225,163905664569000,"[10, 11, 20, 22, 23]",5,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[1.0, 2.0, 3.0]","[2.0, 2.0, 1.0]",0.3333333333333333,0.6000000000000001,,0.4,REJECTED,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,7,28,2227,163905664639900,"[10, 11, 20, 22, 23, 26]",6,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[4.0, 2.0, 3.0]","[1.0, 1.0, 1.0]",0.5555555555555556,0.5,,0.4444444444444444,ACCEPTED,True,True,True,False,False,64,58,122,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,7,28,2227,163905664703700,"[10, 11, 20, 22, 23, 26]",6,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[4.0, 2.0, 3.0]",0.5,0.5555555555555556,,0.4444444444444444,ACCEPTED,True,True,True,False,False,64,127,191,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,7,28,2227,163905664767600,"[10, 11, 20, 22, 23, 26]",6,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 2.0, 3.0]","[2.0, 2.0, 2.0]",0.3333333333333333,0.5,,0.16666666666666666,ACCEPTED,True,True,True,False,False,64,58,122,True
