perturbation_type,perturbation_level,num_episodes,success_count,success_rate,average_steps,average_return,average_elapsed_time_ms,total_clip_count,clip_fraction
action_scale,1.0,20,20,1.0,62.75,197.2511165220716,66.83082500239834,571,0.4549800796812749
action_scale,0.8,20,20,1.0,70.95,222.22592803218828,71.82382500031963,444,0.3128964059196617
action_scale,0.6,20,18,0.9,140.85,671.3971774489256,130.9938600519672,184,0.0653177138800142
action_scale,0.4,20,20,1.0,158.05,491.92816330530604,141.32947999751195,14,0.004428978171464726
action_scale,0.2,20,20,1.0,302.35,843.9766357677593,263.0994400125928,0,0.0
gaussian_noise,0.0,20,20,1.0,62.75,197.2511165220716,65.99402998108417,571,0.4549800796812749
gaussian_noise,0.02,20,20,1.0,62.75,199.0707899057722,65.81004498293623,573,0.45657370517928286
gaussian_noise,0.05,20,20,1.0,62.8,199.24383442036464,67.92362498817965,579,0.4609872611464968
gaussian_noise,0.1,20,20,1.0,62.6,198.76463000017904,66.6388800018467,575,0.45926517571884984
gaussian_noise,0.2,20,19,0.95,86.6,335.7649225141,90.18640498397872,598,0.34526558891454967
action_bias,0.0,20,20,1.0,62.75,197.2511165220716,66.59198499983177,571,0.4549800796812749
action_bias,0.02,20,20,1.0,62.8,210.1749479055166,65.76211501378566,572,0.4554140127388535
action_bias,0.05,20,18,0.9,120.9,579.0912953118097,123.66798497969285,555,0.22952853598014888
action_bias,0.1,20,0,0.0,500.0,279.42399411047717,481.89875995740294,343,0.0343
action_bias,0.15,20,0,0.0,500.0,116.85127496327252,397.97122998861596,5904,0.5904
action_bias,0.06,20,18,0.9,126.6,619.4417802954686,125.54889001185074,550,0.21721958925750395
action_bias,0.07,20,17,0.85,150.6,640.6035119798652,148.86856502853334,526,0.17463479415670652
action_bias,0.08,20,10,0.5,294.3,289.5872896993045,285.7689200085588,390,0.06625891946992865
action_bias,0.09,20,5,0.25,398.65,277.94912312320395,387.0996549841948,307,0.038504954220494166
