experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,probe_steps,paired_candidate_eligible,ineligibility_reason,operational_index,evaluator_collection_steps,candidate_id,paired_verification_seed,verification_status,verification_success,verification_steps,final_object_goal_distance,observed_progress,outcome_timestamp_ns
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,19,2518,fault_05,False,True,500,0.14333881621618452,64,True,,9,700,BOUNDED_PLANAR_COMPENSATION,733081190,ACCEPTED,True,136,0.04534789575914792,0.09799092045703661,165967598993400
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,19,2518,fault_05,False,True,500,0.14333881621618452,64,True,,9,1200,INDEPENDENT_STOCHASTIC_RETRY,733081190,REJECTED,False,500,0.20179922932030456,-0.058460413104120035,165969224825800
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,22,2521,fault_05,False,True,500,0.21782955182256616,64,True,,10,755,BOUNDED_PLANAR_COMPENSATION,2463854181,ACCEPTED,True,191,0.049687633297504835,0.16814191852506133,165976159551200
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,22,2521,fault_05,False,True,500,0.21782955182256616,64,True,,10,914,INDEPENDENT_STOCHASTIC_RETRY,2463854181,ACCEPTED,True,159,0.04827360789298954,0.16955594392957662,165977434371200
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,23,2522,fault_05,False,True,500,0.2336275746445731,64,True,,11,1064,BOUNDED_PLANAR_COMPENSATION,1463320357,REJECTED,False,500,0.27584487007085257,-0.04221729542627947,165982174137800
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,23,2522,fault_05,False,True,500,0.2336275746445731,64,True,,11,1564,INDEPENDENT_STOCHASTIC_RETRY,1463320357,REJECTED,False,500,0.2786006112829583,-0.04497303663838523,165983824325300
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,28,2527,fault_05,False,True,500,0.24586326155317922,64,True,,12,1064,BOUNDED_PLANAR_COMPENSATION,3144408281,REJECTED,False,500,0.3111679642943022,-0.06530470274112299,165993828610200
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,28,2527,fault_05,False,True,500,0.24586326155317922,64,True,,12,1129,INDEPENDENT_STOCHASTIC_RETRY,3144408281,ACCEPTED,True,65,0.049184268170039534,0.19667899338313968,165994992224900
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,32,2531,fault_05,False,True,500,0.32130637879059465,64,True,,13,1064,BOUNDED_PLANAR_COMPENSATION,2729951195,INCONCLUSIVE,False,500,0.28708681695804167,0.03421956183255298,166004045144500
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,32,2531,fault_05,False,True,500,0.32130637879059465,64,True,,13,1192,INDEPENDENT_STOCHASTIC_RETRY,2729951195,ACCEPTED,True,128,0.04774832007750364,0.273558058713091,166005236831400
acr_contextual_20260802T134851Z_f54f00df645e,ff6c241462123c37f800eab7974751b3a98155e264ded2846e5c4380cb4f6abd,f54f00df645e7d1747344ef6e48165f676fda97c,34,2533,fault_05,False,True,500,0.23903861686527025,64,True,,14,1064,BOUNDED_PLANAR_COMPENSATION,4118395201,REJECTED,False,500,0.27506019543654825,-0.036021578571277996,166011563391400
