experiment_run_id,manifest_id,episode_id,seed,progress_to_goal,final_object_goal_distance,temporal_uncertainty,phase_inconsistency,estimated_drift_x,estimated_drift_y,normalized_residual_norm,probe_estimated_bias_x,probe_estimated_bias_y,probe_estimated_bias_std_norm,probe_relative_bias_std,probe_mean_estimation_residual,probe_dominant_axis_sign_agreement,outcome_partition_evaluator_only,compensation_status_evaluator_only,retry_status_evaluator_only
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,1,760,-0.0009389395229636999,0.1662003354445508,0.9648972948980505,0.9633547893616201,-0.00013408563828988507,9.620360923702704e-05,1.3645710065451178,0.10856957540658876,0.19424220161043956,0.27918372419728343,1.2546172165059448,6.761341531019927e-05,0.5,BOTH_RECOVER,ACCEPTED,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,4,763,-0.12686404057743625,0.33842218926409673,0.9757570254282235,0.9843345868267296,-3.8763995349325654e-05,-0.0002767234531367379,1.3799309932097619,-0.2551694759989523,-0.5795591668818185,0.2704222501944516,0.4270414973500135,6.214778787964937e-06,1.0,RETRY_ONLY_RECOVERY,REJECTED,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,5,764,-0.04622390929788922,0.2755417872572688,0.9750933571809994,0.9895874643158029,0.00012388153017518276,3.1763752917460245e-05,1.3794259257967718,-0.0379538938240103,0.15290110712205984,0.4164638769320558,2.643522678432347,4.089741794185839e-05,0.5,RETRY_ONLY_RECOVERY,INCONCLUSIVE,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,9,768,-0.03323523419362942,0.2412618317771994,0.9764331147462487,0.979102420856735,0.00014635836370426424,-0.00012768469917168415,1.3809322582168124,-0.3593083340800393,-0.28293988576375906,0.4258068931649932,0.9310564441387386,1.8848828181518982e-05,0.5,NEITHER_RECOVERS,REJECTED,INCONCLUSIVE
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,13,772,0.06940070193543871,0.1482468717098622,0.9965003489692565,0.9941733392120528,2.1980276180508807e-05,0.00021536563301468832,1.409266924900919,-0.029174017517637745,0.022496226234196504,0.41401818328619805,11.238204509500026,6.61740513153591e-05,0.5,NEITHER_RECOVERS,REJECTED,REJECTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,15,774,-0.12973058284922484,0.38734224712788384,0.8336215061129308,0.8532413084819019,-0.00014872769201137073,0.00010221380787057466,1.1879583101894413,0.06804524138185289,0.0601558720824861,0.3938426020020447,4.336357692130642,4.620721983213042e-05,0.5,BOTH_RECOVER,ACCEPTED,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,16,775,-0.044857409013983746,0.27109597997031537,0.9745190957559486,0.9651472431187996,-2.6526382233621317e-05,5.466471791676612e-05,1.3782981424273315,0.09201573839927871,-0.15518490148189357,0.2975207842826314,1.6490993434002648,1.3796401998011695e-05,0.75,RETRY_ONLY_RECOVERY,INCONCLUSIVE,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,19,778,-0.0023804634744516995,0.28362973551895587,0.9966283401220133,0.9926248895017474,1.4327031120700552e-05,6.283510088642511e-05,1.4094456190534785,0.17420712515736458,-0.16056864649571867,0.40823200030790696,1.7230898624310493,4.341697934736864e-05,0.5,BOTH_RECOVER,ACCEPTED,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,21,780,0.004616918746898874,0.1942007911051071,0.9737066179153957,0.9848176381731815,-0.0001150824349425567,0.00021514812927777208,1.377515562961473,0.0009236428068804588,-0.08393344379470374,0.2714686649242819,3.2341366795558426,2.7002300568156806e-05,0.75,BOTH_RECOVER,ACCEPTED,ACCEPTED
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,22,781,-0.1148211876724658,0.34264968162167286,0.969114316696277,0.9590605459968956,-0.00027023598241481136,-0.00022364216014707217,1.3707518033774908,-0.2619012816125989,0.10296278087566242,0.6923068694771531,2.4601045003927036,4.436599039408574e-05,0.5,COMPENSATION_ONLY_RECOVERY,ACCEPTED,INCONCLUSIVE
