experiment_run_id,manifest_id,source_git_commit,episode_id,seed,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,condition_id_oracle,paired_comparable,winner_candidate_ids_oracle,registered_probe_steps,evaluator_collection_steps
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,19,778,False,True,500,0.28362973551895587,fault_05,True,BOUNDED_PLANAR_COMPENSATION,64,708
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,20,779,True,False,72,0.048653922601867086,fault_05,False,,0,72
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,21,780,False,True,500,0.1942007911051071,fault_05,True,BOUNDED_PLANAR_COMPENSATION,64,711
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,22,781,False,True,500,0.34264968162167286,fault_05,True,BOUNDED_PLANAR_COMPENSATION,64,1255
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,23,782,True,False,71,0.04481258852109879,fault_05,False,,0,71
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,24,783,True,False,66,0.045042272258330004,fault_05,False,,0,66
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,25,784,True,False,71,0.048804260092414,fault_05,False,,0,71
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,26,785,True,False,74,0.04687853622078655,fault_05,False,,0,74
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,27,786,True,False,345,0.047222717047997693,fault_05,False,,0,345
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,28,787,True,False,110,0.048326925829955736,fault_05,False,,0,110
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,29,788,True,False,147,0.048370038253303424,fault_05,False,,0,147
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,30,789,True,False,75,0.04989123802669012,fault_05,False,,0,75
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,31,790,False,True,500,0.21761327142719833,fault_05,True,INDEPENDENT_STOCHASTIC_RETRY,64,1366
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,32,791,True,False,90,0.04595763325133915,fault_05,False,,0,90
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,33,792,True,False,117,0.045614524224382516,fault_05,False,,0,117
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,34,793,True,False,247,0.04986807386135691,fault_05,False,,0,247
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,35,794,False,True,500,0.22598503628633265,fault_05,True,BOUNDED_PLANAR_COMPENSATION,64,1166
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,36,795,True,False,72,0.048635504798414074,fault_05,False,,0,72
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,37,796,False,True,500,0.28309540980999426,fault_05,True,BOUNDED_PLANAR_COMPENSATION,64,1564
