experiment_run_id,manifest_id,episode_id,seed,progress_to_goal,final_object_goal_distance,temporal_uncertainty,phase_inconsistency,estimated_drift_x,estimated_drift_y,normalized_residual_norm,probe_estimated_bias_x,probe_estimated_bias_y,probe_estimated_bias_std_norm,probe_relative_bias_std,probe_mean_estimation_residual,probe_dominant_axis_sign_agreement,winner_candidate_ids_evaluator_only
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,2,741,0.06558802857887037,0.10008242793387977,0.862086537689413,0.8654656973818476,-0.0012209461936135196,0.00019276109018139152,1.2236160628368185,-0.22594369080580393,-0.055156024301085196,4.572831111159083e-16,1.9661456094416184e-15,3.2880281707138824e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,3,742,-0.004227931326344608,0.19437235686622908,0.805254981058688,0.847800804080657,1.65161316787974e-05,-0.00130196316979803,1.1400828698423218,-0.02883303259402373,-0.27596183986525546,2.238465556469147e-16,8.067588652399649e-16,3.252044174524504e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,4,743,0.001059136862319593,0.2061535706222353,0.8785049786531878,0.8257622112638006,0.0009698310178657992,-0.0005831602017823614,1.2472685680139617,0.10615201780969176,-0.2361351028765541,3.0865522938881014e-15,1.1921897587061768e-14,3.2041311399449965e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,6,745,-0.009773742801566732,0.24158336514432824,0.8700693679392789,0.897929554052769,0.0008223267772653211,2.716214880237869e-05,1.2383365073391395,0.09892026427703751,-0.09692517904667385,0.0,0.0,3.19023642389303e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,8,747,-0.023398430100822848,0.22658851530819168,0.7870616143675997,0.8579458250669106,3.411350369851974e-05,-0.0011679577871587924,1.1168949525898455,-0.02883303259402386,-0.27596183986525546,2.5847961907471244e-16,9.315788825506887e-16,3.252044174528968e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,9,748,0.004814572341792056,0.1602875481314471,0.9208157132528779,0.8409192363848086,0.000547264364481484,-0.0008414606886978875,1.302153108195024,0.10615201780968885,-0.2361351028765534,2.1275603747704365e-15,8.217763537825105e-15,3.204131139788382e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,11,750,-0.037530613265621154,0.273851533500619,0.8315644556032711,0.897249273870881,0.000609103280848679,0.00013633064730014796,1.1794233101898908,0.0989202642770377,-0.09692517904667489,1.832643195433386e-15,1.3232957316088143e-14,3.190236423943336e-07,1.0,INDEPENDENT_STOCHASTIC_RETRY
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,13,752,-0.0007585278659101857,0.20743139986662368,0.863224633450239,0.8578007267715387,-3.749758998028005e-05,-0.003540098389258977,1.2006877034074654,-0.02883303259402373,-0.27596183986525546,2.238465556469147e-16,8.067588652399649e-16,3.252044174524504e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,14,753,0.00416434703812571,0.18753080117663956,0.9196912647693514,0.8444282553535483,0.0008400183210844628,-0.0006082628323165303,1.3010551192761755,0.10615201780969093,-0.2361351028765541,2.2557382519520495e-15,8.712854299032025e-15,3.2041311399081823e-07,1.0,BOUNDED_PLANAR_COMPENSATION
probemem_paired_utility_20260731T172244Z_44bc5d206ddf,92bfd43b97157a2dee3fb8da7c1e02fc0ac1dc3772fc53f50d3b12214335e501,19,758,0.0005521332749486574,0.24751766257588564,0.9005592308476892,0.8311170297992007,0.0009575739470569394,-0.00022690048739881932,1.2802002239711174,0.10615201780968879,-0.2361351028765534,2.1534731744533124e-15,8.317852476744115e-15,3.2041311397857405e-07,1.0,BOUNDED_PLANAR_COMPENSATION
