experiment_run_id,manifest_id,source_git_commit,episode_id,seed,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,candidate_id,verification_status,verification_success,verification_steps,final_object_goal_distance,goal_distance_change,shared_verification_perturbation_seed
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,21,780,False,True,500,0.1942007911051071,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,74,0.047935196163478765,0.14626559494162833,2490760984
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,22,781,False,True,500,0.34264968162167286,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,191,0.049484049611026815,0.29316563201064605,1637200574
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,22,781,False,True,500,0.34264968162167286,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,False,500,0.13976194721684104,0.20288773440483182,1637200574
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,31,790,False,True,500,0.21761327142719833,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.21179041829849363,0.0058228531287047025,4287740654
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,31,790,False,True,500,0.21761327142719833,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,302,0.04969929806767126,0.16791397335952707,4287740654
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,35,794,False,True,500,0.22598503628633265,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,102,0.04907664497518195,0.17690839131115071,781253928
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,35,794,False,True,500,0.22598503628633265,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,False,500,0.18674135833299713,0.039243677953335526,781253928
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,37,796,False,True,500,0.28309540980999426,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.22437751455029084,0.05871789525970342,1935272638
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,37,796,False,True,500,0.28309540980999426,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.3487664633193358,-0.06567105350934155,1935272638
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,46,805,False,True,500,0.14199304590897174,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,90,0.04874591165697543,0.09324713425199632,3013512285
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,46,805,False,True,500,0.14199304590897174,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,102,0.0473529852626245,0.09464006064634725,3013512285
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,48,807,False,True,500,0.15310770589642694,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,206,0.046616271938794404,0.10649143395763254,1092092461
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,48,807,False,True,500,0.15310770589642694,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,123,0.04646970086643126,0.10663800502999568,1092092461
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,50,809,False,True,500,0.15493048090994543,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,73,0.04697664498343125,0.10795383592651418,594572321
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,50,809,False,True,500,0.15493048090994543,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,136,0.04556946284875205,0.10936101806119339,594572321
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,51,810,False,True,500,0.20192516428772203,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,59,0.04777468156441706,0.15415048272330498,4206606905
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,51,810,False,True,500,0.20192516428772203,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,63,0.046517848569751406,0.15540731571797062,4206606905
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,54,813,False,True,500,0.22431424146697362,BOUNDED_PLANAR_COMPENSATION,REJECTED,False,500,0.33387574287785404,-0.10956150141088042,1382048877
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,54,813,False,True,500,0.22431424146697362,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,False,500,0.17971478408910782,0.0445994573778658,1382048877
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,57,816,False,True,500,0.296937978879755,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.1889905667540485,0.1079474121257065,1383470020
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,57,816,False,True,500,0.296937978879755,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,81,0.049860342154986914,0.24707763672476807,1383470020
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,58,817,False,True,500,0.2088931081781039,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.19457284050139778,0.014320267676706105,3761655635
probemem_paired_utility_20260731T173200Z_aceee1a6eca2,f191171b0dd485a9e6f08f232acf17205d687c5de52cf7a83ebb39d542e3f76f,aceee1a6eca2d3313bb0b7c71629d0828b5ada3d,58,817,False,True,500,0.2088931081781039,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,True,192,0.04778928242538636,0.16110382575271753,3761655635
