experiment_run_id,manifest_id,episode_id,seed,selected_skill,selected_accepted,effect_vs_always_retry,effect_vs_always_compensation,outcome_partition_evaluator_only,probe_relative_bias_std,frozen_threshold,absolute_threshold_margin,compensation_status_evaluator_only,compensation_steps_evaluator_only,compensation_final_distance_evaluator_only,retry_status_evaluator_only,retry_steps_evaluator_only,retry_final_distance_evaluator_only,agent_feature_progress_to_goal,agent_feature_final_object_goal_distance,agent_feature_temporal_uncertainty,agent_feature_phase_inconsistency,agent_feature_estimated_drift_x,agent_feature_estimated_drift_y,agent_feature_normalized_residual_norm,agent_feature_probe_estimated_bias_x,agent_feature_probe_estimated_bias_y,agent_feature_probe_estimated_bias_std_norm,agent_feature_probe_relative_bias_std,agent_feature_probe_mean_estimation_residual,agent_feature_probe_dominant_axis_sign_agreement
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,29,868,INDEPENDENT_STOCHASTIC_RETRY,True,NO_DECISION_CHANGE,NEUTRAL_CHANGE,BOTH_RECOVER,1.2707230278779378,2.0,0.7292769721220622,ACCEPTED,100,0.045665141153489734,ACCEPTED,88,0.04905034244688929,-0.11826306278308682,0.29929557419898273,0.9868679762024697,0.9744509753924007,4.411320646458069e-05,-4.658727494422999e-05,1.3956596530554735,0.13319071738943472,-0.11048260790527295,0.2198981476239127,1.2707230278779378,5.135993102365663e-06,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,34,873,INDEPENDENT_STOCHASTIC_RETRY,False,NO_DECISION_CHANGE,NEUTRAL_CHANGE,NEITHER_RECOVERS,0.6111922427320841,2.0,1.3888077572679158,REJECTED,500,0.3168466377090831,REJECTED,500,0.15286618065076546,0.12551617999105616,0.09657189034551444,0.8649955449703827,0.8470514423799119,4.633920962669226e-05,0.00030152433244435065,1.2248427630474017,-0.3909881710147726,0.18135463045777328,0.2634240351982084,0.6111922427320841,4.554349523812973e-05,0.75
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,42,881,BOUNDED_PLANAR_COMPENSATION,True,HELPFUL_CHANGE,NO_DECISION_CHANGE,COMPENSATION_ONLY_RECOVERY,2.2085151819138664,2.0,0.20851518191386642,ACCEPTED,132,0.047930752753817946,INCONCLUSIVE,500,0.32162751802647893,-0.07259119884271015,0.34088571112659766,0.9609580791523196,0.9642912628375748,-0.00013004783443507084,-0.00010937841043016306,1.3599642426967566,-0.1755962896005675,0.07463286922661702,0.42138169929235497,2.2085151819138664,4.2339835052768086e-05,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,44,883,INDEPENDENT_STOCHASTIC_RETRY,False,NO_DECISION_CHANGE,HARMFUL_CHANGE,COMPENSATION_ONLY_RECOVERY,1.6112778360667301,2.0,0.38872216393326986,ACCEPTED,109,0.04940796736579654,REJECTED,500,0.4369050535090007,0.0075700493748201425,0.25410535314479016,0.9699597030851257,0.9600260040881007,-0.0002494179447111276,0.00019195477202083288,1.3717847365322355,-0.4333904438005622,-0.1486794907599441,0.7382622337718066,1.6112778360667301,4.4193062504019886e-05,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,45,884,BOUNDED_PLANAR_COMPENSATION,False,HARMFUL_CHANGE,NO_DECISION_CHANGE,RETRY_ONLY_RECOVERY,13.714296024637116,2.0,11.714296024637116,REJECTED,500,0.34796711290681265,ACCEPTED,174,0.04920441763459107,-0.01194802413948981,0.31147623803335506,0.9967695847639957,0.9928615194939661,6.873903395685804e-05,5.021810577026028e-05,1.4096458290060427,-0.042412105821152596,0.0017895219526719783,0.5821697031449786,13.714296024637116,9.461869852901226e-05,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,49,888,INDEPENDENT_STOCHASTIC_RETRY,True,NO_DECISION_CHANGE,NEUTRAL_CHANGE,BOTH_RECOVER,1.8316399522159665,2.0,0.16836004778403346,ACCEPTED,90,0.049466723185295824,ACCEPTED,158,0.04905374005135135,-0.10217706982847369,0.4093717718111212,0.977696131054292,0.9794839523476091,-0.00011002775696508527,-0.00010610403680947435,1.382804338885605,-0.24855366449521907,-0.0719531197038025,0.4739531648573198,1.8316399522159665,8.016906812787351e-05,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,50,889,INDEPENDENT_STOCHASTIC_RETRY,False,NO_DECISION_CHANGE,NEUTRAL_CHANGE,NEITHER_RECOVERS,1.5437179082147836,2.0,0.4562820917852164,INCONCLUSIVE,500,0.19501667446985538,REJECTED,500,0.49967046765852274,0.012423084356729563,0.21696530290862923,0.9878534030815564,0.9914579978841561,0.0001963369827834136,-2.6211783878411986e-05,1.3970764431997837,-0.19416691640118655,-0.027331923281142992,0.30269401448554745,1.5437179082147836,1.1373718935168255e-05,0.75
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,51,890,INDEPENDENT_STOCHASTIC_RETRY,True,NO_DECISION_CHANGE,NEUTRAL_CHANGE,BOTH_RECOVER,1.2944055805775645,2.0,0.7055944194224355,ACCEPTED,149,0.04724531443143001,ACCEPTED,134,0.04727018624279697,-0.09311278830520067,0.3046485525899646,0.9868403985822438,0.9704084536024862,-5.580210144459831e-05,-6.66500933756154e-05,1.3956763209205674,0.07742750979472196,0.36443994120875123,0.4822620463861805,1.2944055805775645,6.093466238048697e-05,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,53,892,BOUNDED_PLANAR_COMPENSATION,True,NEUTRAL_CHANGE,NO_DECISION_CHANGE,BOTH_RECOVER,3.1198281353076456,2.0,1.1198281353076456,ACCEPTED,64,0.04416149338958734,ACCEPTED,164,0.0493234470869148,-0.08263539639200682,0.2447907607513567,0.9711642356654486,0.9675607679900179,-1.7910574569438346e-05,-0.00015360934329302118,1.3739838033876648,-0.11494303839615522,-0.07198207841459897,0.4231172716130013,3.1198281353076456,4.906705477728747e-05,0.5
probemem_paired_utility_20260731T174415Z_ddd061fcec73,a45c2620a73ab8f6c6542a2d7063ce5dea10587deab458e66620482be5633984,56,895,BOUNDED_PLANAR_COMPENSATION,True,HELPFUL_CHANGE,NO_DECISION_CHANGE,COMPENSATION_ONLY_RECOVERY,4.615729083931479,2.0,2.6157290839314786,ACCEPTED,127,0.04900207671002345,INCONCLUSIVE,500,0.26288665930700006,-0.17119501375549354,0.3770173967043027,0.8408844837237105,0.830498532808472,0.000343287962185534,-0.00015170783924822284,1.192694199152684,0.03137173871742718,0.1513371239964276,0.7133819638066233,4.615729083931479,6.551523304978066e-05,0.5
