source_intervention_run_id,source_manifest_id,selection_rule,case_id,seed,method,verification_status,steps,final_object_goal_distance,correction,schedule,video_path
intervention_20260731T024143Z_d72191c58554,d72191c58554208dff0ec0ef6768bd37639ed54f603ca4ce562f239dfe2dc922,"lowest case_id with requested probe, belief change, passive ACCEPTED, active REJECTED",heldout_case_0049,338,passive_diagnosis_intervention,ACCEPTED,156,0.048330982489856976,"[0.0, -0.05999999865889549, 0.0, 0.0]",phase_aware,outputs/videos/intervention_counterexample/heldout_case_0049_seed338_passive_diagnosis_intervention_accepted.mp4
intervention_20260731T024143Z_d72191c58554,d72191c58554208dff0ec0ef6768bd37639ed54f603ca4ce562f239dfe2dc922,"lowest case_id with requested probe, belief change, passive ACCEPTED, active REJECTED",heldout_case_0049,338,active_evidence_intervention,REJECTED,500,0.40827624770499404,"[0.0, 0.0, 0.0, 0.0]",whole,outputs/videos/intervention_counterexample/heldout_case_0049_seed338_active_evidence_intervention_rejected.mp4
