video_path,source_csv,planner,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,final_object_goal_distance,selection_rule
outputs/recovery/representative_videos/glm51_seed148_initial_failure.mp4,outputs/recovery/glm51_seed148_video_retry.csv,anthropic,148,1,none,none,0.0,False,500,0.2464877377635583,initial uncorrected failure
outputs/recovery/representative_videos/glm51_seed148_best_attempt_x_positive_0.02_failure.mp4,outputs/recovery/glm51_seed148_video_retry.csv,anthropic,148,4,x,positive,0.02,False,500,0.22228386075043402,minimum final object-goal distance among recovery trials
