planner,num_episodes,successes,success_rate,initial_failures,recovered_initial_failures,conditional_recovery_rate,conditional_recovery_wilson_low,conditional_recovery_wilson_high,mean_trials,mean_final_object_goal_distance,mean_rollout_steps,mean_probe_steps,mean_total_environment_steps,mean_final_trial_approach_steps,mean_final_trial_push_steps,mean_final_trial_near_goal_steps,mean_recovery_trial_steps
probe_rule:whole:x_negative_0.145,10,10,1.0,2,2,1.0,0.34238022750665303,1.0,1.2,0.04770970080137952,166.3,6.4,172.7,29.1,28.7,8.5,60.0
probe_rule:whole:y_negative_0.145,10,10,1.0,3,3,1.0,0.4385029682449546,1.0,1.3,0.04788411283319714,243.3,9.6,252.9,35.1,36.0,22.2,63.333333333333336
probe_rule:whole:y_positive_0.145,10,10,1.0,1,1,1.0,0.20654931437723745,1.0,1.1,0.04792612340271616,117.7,3.2,120.9,27.0,33.9,6.8,71.0
