experiment_run_id,source_git_commit,config_path,config_sha256,source_run_id,execution_timestamp_utc,horizon,cases,utility_agreement_rate,selected_recovery_rate,fixed_compensation_recovery_rate,fixed_retry_recovery_rate,mean_prefix_environment_steps,mean_total_additional_steps
micro_20260731T064558Z_2fa7f211eb53,2fa7f211eb53777affec4a0e3633b6a3bd122d80,configs/autoresearch/candidate_micro_evidence_development_v1.json,30164ca99f6923aedd4bc869e7532e276b8df1d1d6cb6f6969af0280b8dc04a3,development_20260731T035004Z_ed696b94484e,2026-07-31T06:45:58.387163+00:00,16,20,0.5,0.4,0.4,0.4,32,406.7
micro_20260731T064558Z_2fa7f211eb53,2fa7f211eb53777affec4a0e3633b6a3bd122d80,configs/autoresearch/candidate_micro_evidence_development_v1.json,30164ca99f6923aedd4bc869e7532e276b8df1d1d6cb6f6969af0280b8dc04a3,development_20260731T035004Z_ed696b94484e,2026-07-31T06:45:58.387163+00:00,32,20,0.45,0.45,0.4,0.4,64,422.25
micro_20260731T064558Z_2fa7f211eb53,2fa7f211eb53777affec4a0e3633b6a3bd122d80,configs/autoresearch/candidate_micro_evidence_development_v1.json,30164ca99f6923aedd4bc869e7532e276b8df1d1d6cb6f6969af0280b8dc04a3,development_20260731T035004Z_ed696b94484e,2026-07-31T06:45:58.387163+00:00,64,20,0.55,0.45,0.4,0.4,128,486.15
micro_20260731T064558Z_2fa7f211eb53,2fa7f211eb53777affec4a0e3633b6a3bd122d80,configs/autoresearch/candidate_micro_evidence_development_v1.json,30164ca99f6923aedd4bc869e7532e276b8df1d1d6cb6f6969af0280b8dc04a3,development_20260731T035004Z_ed696b94484e,2026-07-31T06:45:58.387163+00:00,128,20,0.4,0.45,0.4,0.4,238.7,587.85
