experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,probe_steps,paired_repetitions,evaluator_collection_steps
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,26,1625,fault_05,True,False,138,0.048860020451054025,0,0,138
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,27,1626,fault_05,False,True,500,0.39190604232205445,64,6,3063
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,28,1627,fault_05,True,False,205,0.0499154077013459,0,0,205
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,29,1628,fault_05,True,False,125,0.04908488154200567,0,0,125
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,30,1629,fault_05,True,False,178,0.04606339592034465,0,0,178
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,31,1630,fault_05,True,False,84,0.04890602456652247,0,0,84
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,32,1631,fault_05,True,False,54,0.04909125515297405,0,0,54
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,33,1632,fault_05,True,False,83,0.04751456286290922,0,0,83
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,34,1633,fault_05,True,False,64,0.048016048016634595,0,0,64
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,35,1634,fault_05,True,False,145,0.047204846636100424,0,0,145
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,36,1635,fault_05,True,False,223,0.04992224740081524,0,0,223
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,37,1636,fault_05,True,False,148,0.047907418561496516,0,0,148
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,38,1637,fault_05,True,False,88,0.04933018484926466,0,0,88
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,39,1638,fault_05,False,True,500,0.5167458770812259,64,6,3944
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,40,1639,fault_05,True,False,85,0.04992223867886718,0,0,85
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,41,1640,fault_05,False,True,500,0.17267963362988917,64,6,4537
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,42,1641,fault_05,False,True,500,0.16207700621782645,64,6,3887
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,43,1642,fault_05,True,False,98,0.04775014977595787,0,0,98
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,44,1643,fault_05,False,True,500,0.14585310468037274,64,6,4469
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,45,1644,fault_05,False,True,500,0.07999356229538959,64,6,4090
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,46,1645,fault_05,False,True,500,0.1462303479836358,64,6,4153
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,47,1646,fault_05,True,False,130,0.04714510984892057,0,0,130
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,48,1647,fault_05,True,False,80,0.049134745870238285,0,0,80
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,49,1648,fault_05,True,False,111,0.049440176070347286,0,0,111
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,50,1649,fault_05,False,True,500,0.3202362767862655,64,6,5230
acr_utility_stability_20260802T120100Z_c2597600b05d,06bdedc0ec9f316be840e5866a0029beaae89265d900dd035471de212513a036,c2597600b05d2ac79d313ad8191040db3bd50e6b,51,1650,fault_05,False,True,500,0.17038166771671512,64,6,5580
