experiment_run_id,manifest_id,source_git_commit,episode_id,seed,candidate_skill,verification_status,steps,observed_progress,final_object_goal_distance,evaluator_only
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,29,4716,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.05487278663666517,0.3547228328290503,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,30,4719,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,102,0.14324354722296054,0.048332933820485834,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,30,4719,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.12071407504279685,0.31229055608624323,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,31,4721,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,-0.2467363583601966,0.3720079322341278,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,31,4721,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,173,0.07537221523197118,0.04989935864196002,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,32,4723,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,61,0.16603614986428092,0.049668258406655945,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,32,4723,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,65,0.1663218133094698,0.049382594961467075,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,33,4731,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,500,0.08820415339630513,0.1498833053230098,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,33,4731,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.03968520939013284,0.2777726681094478,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,34,4734,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,58,0.23352062348809888,0.04739608249948475,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,34,4734,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,59,0.2346245838373072,0.04629212215027642,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,35,4736,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,65,0.44999978981111116,0.04713404065494312,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,35,4736,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,68,0.4474260910600208,0.049707739406033506,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,36,4737,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,500,0.045812582963472875,0.1951026876167519,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,36,4737,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,131,0.19252657347892174,0.04838869710130303,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,37,4738,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,-0.011951219708633276,0.20744400531626164,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,37,4738,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,-0.0940781958719362,0.28957098147956456,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,38,4739,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,500,0.017697350727817918,0.30636614402083095,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,38,4739,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,81,0.27793242739545165,0.046131067353197226,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,39,4740,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,72,0.12022050641045873,0.049090558619456603,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,39,4740,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,500,0.005133371562151379,0.16417769346776395,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,40,4742,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,106,0.08286858808125083,0.048028817008679864,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,40,4742,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,59,0.0831749951233541,0.04772240996657658,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,41,4747,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,78,0.2438701203504087,0.04985188681791244,True
probemem_verifier_demo_20260804T092718Z_a158d7e53fbd,6288ba0c45d639fec3573b3bdd4763b31ed160a052aaa18ed50dc1e6b53a0b61,a158d7e53fbdb3e67d3ea44c34460ef625238690,41,4747,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,81,0.24566691145199135,0.048055095716329786,True
