noise_std,episodes,successes,success_rate,failure_rate,mean_steps,mean_final_object_goal_distance,clipped_step_fraction,clipped_element_fraction
0.25,10,10,1.0,0.0,65.9,0.047782812365376605,0.47402070824788045,0.1299370152554275
0.3,10,10,1.0,0.0,74.5,0.047682061745614936,0.45371299643886265,0.12544747987894644
0.35,10,10,1.0,0.0,82.2,0.04769594535480658,0.4537146889463114,0.12617841557962464
0.4,10,9,0.9,0.09999999999999998,128.6,0.07081419806147143,0.4298779496732518,0.11997468599029244
0.45,10,8,0.8,0.19999999999999996,175.6,0.0958398318503835,0.39740175074904655,0.1135136816504378
0.5,10,8,0.8,0.19999999999999996,182.3,0.09669651015398746,0.4409176278315529,0.12659289034391177
0.55,10,8,0.8,0.19999999999999996,187.3,0.09998167707360697,0.504975050212732,0.15063049655804953
0.6,10,6,0.6,0.4,260.6,0.1632858871556319,0.4735240266146791,0.14556479563629354
0.7,10,6,0.6,0.4,274.8,0.15757526492242063,0.600159061239389,0.19260975030583213
