video_path,seed,planner,trial,correction,success,steps,final_object_goal_distance,probe_environment_steps
outputs/active_probes/representative_videos/probe_rule_x_negative_0.10_seed148_trial02_success.mp4,148,probe_rule,2,x_negative_0.10,True,67,0.04852301758837853,32
outputs/active_probes/representative_videos/probe_rule_x_negative_0.10_seed144_trial02_failure.mp4,144,probe_rule,2,x_negative_0.10,False,500,0.06948653812797614,32
