schema_version,seed,bias_x,bias_y,method,trial,correction_x,correction_y,success,steps,episode_return,final_object_goal_distance,clipped_step_fraction,probe_environment_steps,cumulative_environment_steps,approach_steps,push_steps,near_goal_steps,agent_estimated_bias_x,agent_estimated_bias_y
1,260,0.14,-0.14,baseline,1,0.0,0.0,False,500,148.03419089874583,0.26113763631619363,0.41,0,500,411,89,0,,
1,260,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,2973.836514057644,0.10847919423796698,0.138,32,532,41,260,199,0.09166906203022446,-0.1731358563257173
1,260,0.14,-0.14,sequential,2,0.0,0.18,False,500,2973.836514057644,0.10847919423796698,0.138,32,532,41,260,199,0.09166906203022446,-0.1731358563257173
1,260,0.14,-0.14,sequential,3,-0.1,0.18,True,69,247.88725190739035,0.04673129756211154,0.5072463768115942,32,601,30,33,6,0.09166906203022446,-0.1731358563257173
1,260,0.14,-0.14,simultaneous,2,-0.1,0.18,True,69,247.88725190739035,0.04673129756211154,0.5072463768115942,32,101,30,33,6,0.09166906203022446,-0.1731358563257173
1,260,0.14,-0.14,oracle,2,-0.14,0.14,True,68,249.45590542806264,0.04914562811181237,0.5147058823529411,32,100,29,33,6,0.09166906203022446,-0.1731358563257173
1,261,0.14,-0.14,baseline,1,0.0,0.0,False,500,141.7024757059235,0.2526618498468409,0.46,0,500,413,87,0,,
1,261,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,153.15411313921405,0.3627704717942478,0.044,32,532,43,457,0,0.09166906203022532,-0.1731358563257173
1,261,0.14,-0.14,sequential,2,0.0,0.18,False,500,153.15411313921405,0.3627704717942478,0.044,32,532,43,457,0,0.09166906203022532,-0.1731358563257173
1,261,0.14,-0.14,sequential,3,-0.1,0.18,True,67,231.956761256021,0.04957163985573239,0.5074626865671642,32,599,30,32,5,0.09166906203022532,-0.1731358563257173
1,261,0.14,-0.14,simultaneous,2,-0.1,0.18,True,67,231.956761256021,0.04957163985573239,0.5074626865671642,32,99,30,32,5,0.09166906203022532,-0.1731358563257173
1,261,0.14,-0.14,oracle,2,-0.14,0.14,True,69,242.39389746256742,0.04772126635624251,0.4927536231884058,32,101,31,32,6,0.09166906203022532,-0.1731358563257173
1,262,0.14,-0.14,baseline,1,0.0,0.0,False,500,124.71241115613213,0.1909575436642348,0.414,0,500,414,86,0,,
1,262,0.14,-0.14,dominant_only,2,0.0,0.18,True,61,150.66930885073373,0.04842884220542732,0.4262295081967213,32,93,32,24,5,0.0916690620302252,-0.1731358563257173
1,262,0.14,-0.14,sequential,2,0.0,0.18,True,61,150.66930885073373,0.04842884220542732,0.4262295081967213,32,93,32,24,5,0.0916690620302252,-0.1731358563257173
1,262,0.14,-0.14,simultaneous,2,-0.1,0.18,True,60,184.99672007664327,0.048221629376918526,0.4166666666666667,32,92,31,24,5,0.0916690620302252,-0.1731358563257173
1,262,0.14,-0.14,oracle,2,-0.14,0.14,True,62,177.4181952873131,0.04753974243142137,0.4032258064516129,32,94,32,24,6,0.0916690620302252,-0.1731358563257173
1,263,0.14,-0.14,baseline,1,0.0,0.0,False,500,132.94405730027097,0.22996386960333434,0.444,0,500,408,92,0,,
