experiment_run_id,source_git_commit,case_id,episode_id,seed,decision_required,initial_success,initial_steps,initial_return,initial_final_object_goal_distance,condition_id,mechanism_class_oracle,passive_prediction,probe_prediction,probe_score,probe_relative_bias_std,probe_mean_estimation_residual,probe_sign_disagreement,phase_inconsistency,temporal_uncertainty,passive_candidate,probe_candidate,oracle_mechanism_candidate,best_candidate_ids,paired_comparable,compensation_available,compensation_unavailable_reason,passive_candidate_is_best,probe_candidate_is_best,oracle_mechanism_candidate_is_best,belief_changed,intervention_changed,probe_vs_passive_selected_outcome,registered_probe_environment_steps,initial_perturbation_seed,probe_perturbation_seed_base,verification_perturbation_seed
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0018,18,617,True,False,500,385.13377360343446,0.34854383919687787,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.26284858947813095,1.8931665571853216,3.169387707287537e-05,0.25,0.9778177056863075,0.9935728287689725,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,3879468457,4118581718,2049919308
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0019,19,618,False,True,104,209.57763709603324,0.04958826193710724,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0020,20,619,True,False,500,440.08988790716603,0.1853762782189316,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.46940264525340136,12.92922348119134,3.296077137834489e-05,0.5,0.8368990953197862,0.8443251542689209,probe_grounded_compensation,stochastic_retry,stochastic_retry,probe_grounded_compensation,True,True,,True,False,False,True,True,right_better,64,682836305,3776663914,3320516399
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0021,21,620,True,False,500,333.2666361570489,0.202257791815218,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.7396663098289937,1.168723009914355,3.912985720184953e-05,0.5,0.9798906315260572,0.9779359183910955,probe_grounded_compensation,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,False,True,True,True,True,left_better,64,1587933209,2745090582,1128758632
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0022,22,621,False,True,110,290.2459386723174,0.04624449728252081,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0023,23,622,False,True,66,266.5595966087574,0.04851269367123253,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0024,24,623,False,True,70,163.67756790897454,0.04957818171840355,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0025,25,624,False,True,82,300.6563767879161,0.04954914587385581,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0026,26,625,True,False,500,582.082858352218,0.13355324824192844,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.3400699114835275,1.2920192719963555,4.078425714341858e-05,0.25,0.9755145378341821,0.9622153221507468,probe_grounded_compensation,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,False,True,True,True,True,left_better,64,458006417,3736225513,335647958
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0027,27,626,True,False,500,403.62910771269594,0.2696278501915453,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.6049661538802565,1.8679956030499365,7.315092411553127e-05,0.25,0.9458456740235596,0.9928726747493233,probe_grounded_compensation,stochastic_retry,stochastic_retry,probe_grounded_compensation,True,True,,True,False,False,True,True,right_better,64,3594659816,499021304,2420287332
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0028,28,627,True,False,500,180.1468748378656,0.2734762531980873,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.30510939418695454,0.6193555274960642,4.3051155545671495e-05,0.5,0.948191188427648,0.9469307866499279,probe_grounded_compensation,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,False,True,True,True,True,left_better,64,3932938532,2517791785,1274159420
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0029,29,628,False,True,142,272.9116112837176,0.049067225460371434,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0030,30,629,True,False,500,635.1355286241575,0.26872784094897206,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.3681951066458954,1.91953606968303,2.2835796510789753e-06,0.5,0.9859148463415,0.9830511474109145,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,196506629,1748508231,2491170740
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0031,31,630,True,False,500,390.7003415183065,0.31008559766857174,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.19729439707890786,1.5473509080583234,4.943607222430666e-06,0.5,0.9765635675259672,0.9580511119342883,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,3837103713,1060521358,2691268424
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0032,32,631,False,True,90,343.7589902393679,0.04770470015425055,,,,,,,,,,,,,,,False,,,,,,,,,,,,
