experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,probe_steps,paired_candidate_eligible,ineligibility_reason,operational_index,evaluator_collection_steps
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,23,2022,fault_05,True,False,95,0.049105230646005346,0,False,initial_success,0,95
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,24,2023,fault_05,False,True,500,0.21209029458841006,64,True,,10,1281
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,25,2024,fault_05,True,False,70,0.0490946001408792,0,False,initial_success,0,70
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,26,2025,fault_05,False,True,500,0.22069973738288243,64,True,,11,1207
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,27,2026,fault_05,True,False,68,0.04846835230965171,0,False,initial_success,0,68
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,28,2027,fault_05,True,False,90,0.04972408735377747,0,False,initial_success,0,90
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,29,2028,fault_05,True,False,282,0.04888867961228608,0,False,initial_success,0,282
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,30,2029,fault_05,True,False,73,0.04826388513003516,0,False,initial_success,0,73
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,31,2030,fault_05,False,True,500,0.2898345833827756,64,True,,12,1269
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,32,2031,fault_05,False,True,500,0.19789557248079745,64,True,,13,1175
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,33,2032,fault_05,False,True,500,0.2882423787136624,64,True,,14,1564
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,34,2033,fault_05,True,False,135,0.04718977428188687,0,False,initial_success,0,135
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,35,2034,fault_05,True,False,70,0.0497813006225459,0,False,initial_success,0,70
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,36,2035,fault_05,False,True,500,0.08309147334172565,64,True,,15,1162
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,37,2036,fault_05,True,False,200,0.047120453717635444,0,False,initial_success,0,200
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,38,2037,fault_05,False,True,500,0.27217604844287435,64,True,,16,1168
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,39,2038,fault_05,False,True,500,0.25144957438580257,64,True,,17,1231
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,40,2039,fault_05,False,True,500,0.24975430195866447,64,True,,18,1177
acr_distributional_20260802T125208Z_ce7d9daa5547,7f67a0a2d04ad38e73101194fbf2af0a50b229255d2282bcc9fa34f78798edcb,ce7d9daa5547f3c995543ddd9778b27b936d2f09,41,2040,fault_05,True,False,185,0.04959212880630622,0,False,initial_success,0,185
