schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,num_episodes,success_count,success_rate,mean_steps,mean_return,mean_final_object_goal_distance,mean_min_gripper_object_distance,mean_object_displacement,mean_progress_to_goal,clipped_step_fraction,clipped_element_fraction
2,action_bias,0.16,x,positive,10,1,0.1,454.4,262.4780252553358,0.16474551182886155,0.04750425564366213,0.04632051681745236,0.03463977893299256,0.10233274647887323,0.025638204225352113
2,action_bias,0.2,x,positive,10,0,0,500,160.12255626144537,0.198317418336737,0.06128899470570687,0.02005100186553026,0.0010678724251171334,0.541,0.13525
2,action_bias,0.24,x,positive,10,0,0,500,42.181199808706054,0.19939884588736537,0.13936193821831303,1.97937008997628e-05,-1.3555125511255372e-05,0.0158,0.00395
2,action_bias,0.16,x,negative,10,7,0.7,200,157.34934007049685,0.08598706228986572,0.03744819296217304,0.17354283972980386,0.1133982284719884,0.2395,0.06075
2,action_bias,0.2,x,negative,10,0,0,500,137.8552877953743,0.19939014725382398,0.0833357752877924,1.953863047453743e-05,-4.8564919698595995e-06,0.092,0.023
2,action_bias,0.24,x,negative,10,0,0,500,40.233859143686104,0.1993903403457647,0.1768294832069256,1.831285593918921e-05,-5.049583910568534e-06,0.0062,0.00155
2,action_bias,0.16,y,positive,10,9,0.9,107.4,447.30538507523033,0.09460642553668704,0.03896766790115466,0.18216037412347408,0.10477886522516708,0.22998137802607077,0.05819366852886406
2,action_bias,0.2,y,positive,10,5,0.5,309.1,152.9301798342632,0.1325554855244573,0.057270762462232824,0.06794857625061139,0.06682980523739682,0.5642186994500161,0.14137819475897767
2,action_bias,0.24,y,positive,10,1,0.1,457.4,52.65413157531735,0.18462273276527721,0.10527540259909081,0.014796470359902315,0.014762557996576905,0.030826410144293836,0.007706602536073459
2,action_bias,0.16,y,negative,10,9,0.9,109.9,205.68528389566674,0.05285003381201138,0.03564604219815344,0.15170207783307027,0.14653525694984273,0.2456778889899909,0.06255686988171065
2,action_bias,0.2,y,negative,10,1,0.1,455.1,120.23127132821385,0.20098565479830094,0.06751037640742051,0.03367188129179011,-0.0016003640364468108,0.16282135794330915,0.04087013843111404
2,action_bias,0.24,y,negative,10,1,0.1,457,49.41368390710313,0.18469854319460952,0.17612644169053218,0.014714354039785838,0.014686747567244593,0.00612691466083151,0.0015317286652078775
