schema_version,perturbation_type,perturbation_level,bias_axis,bias_direction,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,final_object_goal_distance,min_gripper_object_distance,object_displacement,progress_to_goal
2,action_bias,0.17,y,negative,1,230,True,74,251.80971681885018,91.1564000416547,33,0.44594594594594594,33,0.11148648648648649,0.04827530111847575,0.03641358463212195,0.20215681997826127,0.201217131550728
2,action_bias,0.17,y,negative,2,231,True,69,164.80734536625454,85.23459988646209,22,0.3188405797101449,22,0.07971014492753623,0.045770947067031095,0.033535029978523215,0.11440063551310545,0.11410859670427022
2,action_bias,0.17,y,negative,3,232,True,66,138.04709895312635,73.6746999900788,18,0.2727272727272727,19,0.07196969696969698,0.04857294026071549,0.036938751182621625,0.12048382485326298,0.11696162583258576
2,action_bias,0.17,y,negative,4,233,True,67,159.30044003628788,74.24829993396997,17,0.2537313432835821,20,0.07462686567164178,0.04720531960304064,0.03757674374458586,0.12006065259421601,0.11261580050737272
2,action_bias,0.17,y,negative,5,234,True,79,263.5341204078028,98.04940014146268,33,0.4177215189873418,33,0.10443037974683544,0.04891791944611262,0.03509471119075584,0.20827162850317826,0.20420986425669407
2,action_bias,0.17,y,negative,6,235,True,80,238.67783342891371,105.0309999845922,31,0.3875,31,0.096875,0.048479372166314774,0.035778123994658025,0.20265030600808678,0.19908407898079983
2,action_bias,0.17,y,negative,7,236,True,72,190.13185296556824,92.60040009394288,23,0.3194444444444444,23,0.0798611111111111,0.04733563180828487,0.037899510002269515,0.1449142680384208,0.13882629846209196
2,action_bias,0.17,y,negative,8,237,True,69,176.3133042111848,92.33220014721155,20,0.2898550724637681,20,0.07246376811594203,0.04819078090526763,0.03820776454990049,0.12881634051361854,0.12143650200013234
2,action_bias,0.17,y,negative,9,238,True,77,229.60924047863546,106.4472000580281,27,0.35064935064935066,27,0.08766233766233766,0.047693872710791084,0.037710435366956195,0.16481147240455102,0.16001485969608814
2,action_bias,0.17,y,negative,10,239,True,49,194.2739943851561,65.93440007418394,23,0.46938775510204084,23,0.11734693877551021,0.04785791221260137,0.03540773379091676,0.14723258160215205,0.14707815232914273
2,action_bias,0.18,y,negative,1,230,True,80,275.5849401519064,131.06919988058507,34,0.425,34,0.10625,0.04744462185715872,0.037342872765575935,0.20282273239945725,0.20204781081204504
2,action_bias,0.18,y,negative,2,231,True,71,151.3178102225355,84.90470005199313,22,0.30985915492957744,22,0.07746478873239436,0.046660864451798255,0.03222362660814336,0.11367028578829853,0.11321867931950305
2,action_bias,0.18,y,negative,3,232,True,69,148.1080181962198,84.97309987433255,18,0.2608695652173913,18,0.06521739130434782,0.047871304819163726,0.038268834288002325,0.12223527128024107,0.11766326127413752
2,action_bias,0.18,y,negative,4,233,True,69,158.8084762889985,81.4215000718832,17,0.2463768115942029,20,0.07246376811594203,0.04852531936144858,0.03780157814977162,0.11886214729392103,0.11129580074896478
2,action_bias,0.18,y,negative,5,234,True,83,271.64915611149587,98.01239985972643,33,0.39759036144578314,33,0.09939759036144578,0.04832025745646954,0.03729560023341969,0.2080292704385676,0.20480752624633716
2,action_bias,0.18,y,negative,6,235,True,81,247.0342453188216,104.59879995323718,31,0.38271604938271603,31,0.09567901234567901,0.04938007799448567,0.036806968166340194,0.20166145074911362,0.19818337315262896
2,action_bias,0.18,y,negative,7,236,True,73,180.19262304193813,86.63540007546544,23,0.3150684931506849,23,0.07876712328767123,0.04830366290964354,0.03735554135598517,0.14323029417209468,0.1378582673607333
2,action_bias,0.18,y,negative,8,237,True,70,180.16835248447853,89.81050015427172,21,0.3,21,0.075,0.049824343867021385,0.03827604992097595,0.12736970028302083,0.11980293903837858
2,action_bias,0.18,y,negative,9,238,True,79,233.8137053038784,93.9209999050945,27,0.34177215189873417,27,0.08544303797468354,0.048242885935797834,0.03808087758391887,0.16407980626093485,0.1594658464710814
2,action_bias,0.18,y,negative,10,239,True,51,206.81404347913303,65.03499997779727,24,0.47058823529411764,24,0.11764705882352941,0.04596162863362293,0.03678443800223257,0.14919177985620588,0.14897443590812118
2,action_bias,0.19,y,negative,1,230,True,77,246.73228976907762,99.53820006921887,33,0.42857142857142855,33,0.10714285714285714,0.049646236322408915,0.03570659513850592,0.20081080092423337,0.19984619634679485
2,action_bias,0.19,y,negative,2,231,True,79,181.9463205915674,93.38880004361272,23,0.2911392405063291,23,0.07278481012658228,0.04689408808887708,0.03739278136045365,0.11308994325179902,0.11298545568242424
2,action_bias,0.19,y,negative,3,232,True,73,153.30124748342342,79.32169991545379,18,0.2465753424657534,18,0.06164383561643835,0.047877143342641114,0.03812788251456319,0.12270125323782172,0.11765742275066013
2,action_bias,0.19,y,negative,4,233,False,500,240.82003291154913,561.2065000459552,104,0.208,107,0.0535,0.0738112396271718,0.03679035389724662,0.09341366906758629,0.08600988048324155
2,action_bias,0.19,y,negative,5,234,True,103,329.84770696428563,137.28590006940067,36,0.34951456310679613,36,0.08737864077669903,0.047935340581561035,0.038275490584411175,0.20849070335036285,0.20519244312124565
2,action_bias,0.19,y,negative,6,235,True,106,321.9627087038731,124.91210014559329,35,0.330188679245283,35,0.08254716981132075,0.047341386702368496,0.03913861203438584,0.20509098658280406,0.2002220644447461
2,action_bias,0.19,y,negative,7,236,True,76,184.91056614542492,86.22219995595515,23,0.3026315789473684,23,0.0756578947368421,0.04693790824827345,0.03660997555786434,0.14232613586873039,0.13922402202210338
2,action_bias,0.19,y,negative,8,237,True,84,225.97911508333402,99.73130002617836,22,0.2619047619047619,22,0.06547619047619048,0.04750564715933961,0.038210996706209595,0.1277882309120534,0.12212163574606036
2,action_bias,0.19,y,negative,9,238,True,103,327.7341350536194,111.62490001879632,30,0.2912621359223301,30,0.07281553398058252,0.04608593626994687,0.04048375808706534,0.16436157495063916,0.16162279613693237
2,action_bias,0.19,y,negative,10,239,True,51,206.31273639696235,71.44480012357235,24,0.47058823529411764,24,0.11764705882352941,0.04710983205004619,0.03663263296725567,0.14805063824463702,0.14782623249169793
