experiment_run_id,source_git_commit,config_path,config_sha256,source_run_id,source_run_commit,execution_timestamp_utc,repetition_count,cases,utility_agreement_rate,selected_recovery_rate,mean_prefix_environment_steps,mean_total_additional_steps
repeatability_20260731T070645Z_9650e171518a,9650e171518a66eb3a4fb1498143e3b18dd3eacd,configs/autoresearch/candidate_repeatability_evidence_v1.json,e4ce2c67f581151c3ddd940af82253ebf065d5dc542c5a60ae2894fdb9ab744b,development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,2026-07-31T07:06:45.091356+00:00,1,20,0.7,0.5,127.9,438.9
repeatability_20260731T070645Z_9650e171518a,9650e171518a66eb3a4fb1498143e3b18dd3eacd,configs/autoresearch/candidate_repeatability_evidence_v1.json,e4ce2c67f581151c3ddd940af82253ebf065d5dc542c5a60ae2894fdb9ab744b,development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,2026-07-31T07:06:45.091356+00:00,2,20,0.55,0.45,255.65,590.4
repeatability_20260731T070645Z_9650e171518a,9650e171518a66eb3a4fb1498143e3b18dd3eacd,configs/autoresearch/candidate_repeatability_evidence_v1.json,e4ce2c67f581151c3ddd940af82253ebf065d5dc542c5a60ae2894fdb9ab744b,development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,2026-07-31T07:06:45.091356+00:00,3,20,0.55,0.3,383.65,770.8
