condition_id,seed,is_stochastic_ood,probe_environment_steps,repeat_count,estimated_bias_mean,estimated_bias_std,estimated_bias_std_norm,relative_bias_std,mean_estimation_residual,dominant_axis_sign_agreement
fault_04,308,False,64,4,"(0.10615201780969187, -0.2361351028765555)","(0.0, 0.0)",0.0,0.0,3.204131140004983e-07,1.0
fault_04,309,False,64,4,"(0.10615201780968787, -0.2361351028765527)","(0.0, 0.0)",0.0,0.0,3.204131139717943e-07,1.0
fault_05,300,True,64,4,"(-0.3516446476098802, -0.22051509336622188)","(0.2157473654579395, 0.14414342511897082)",0.25946917486875015,0.6251255496773866,1.819255503629251e-05,0.75
fault_05,301,True,64,4,"(-0.05838252639046343, 0.15605878796858969)","(0.3551278067635313, 0.4506807455452689)",0.573784710097712,3.4436327782336997,2.9651730166643566e-05,0.5
fault_05,302,True,64,4,"(-0.358231192375931, -0.32748895089005753)","(0.23058887112182846, 0.10431588619385912)",0.2530870040078103,0.5214370982950554,3.441630448812353e-05,0.5
fault_05,303,True,64,4,"(0.17227880042752935, 0.07231470080709264)","(0.11497982042898461, 0.20060117623990747)",0.23121676196745763,1.2375082880202277,2.4017716392217193e-05,0.5
fault_05,304,True,64,4,"(-0.5125662215810827, -0.34296951961852057)","(0.7383736310833909, 0.1773710900267445)",0.7593787741677713,1.231304521863302,3.618835310225694e-05,0.75
fault_05,305,True,64,4,"(-0.5805806389930841, 0.046203545760516676)","(0.9415996277712565, 0.2724549266762615)",0.9802252527297671,1.6830322192646432,1.8905782888035625e-05,0.5
fault_05,306,True,64,4,"(-0.03757855846491251, -0.17587079935480884)","(0.6055589855483512, 0.17359960170385338)",0.6299511938952769,3.502828384908977,2.208924201800604e-05,0.5
fault_05,307,True,64,4,"(-0.1264017406044497, -0.6010350347633704)","(0.29508868659651477, 0.3237536714944026)",0.43805681453820766,0.7132352352202197,6.749292392361013e-05,0.75
fault_05,308,True,64,4,"(-0.6960408132657748, -0.23633355526471558)","(0.30598203956330144, 0.28329285693359374)",0.41698903022131817,0.5672787967956464,3.240389414033668e-05,0.75
fault_05,309,True,64,4,"(-0.1883400515880132, 0.13150732138970142)","(0.3478531214968194, 0.4629675227682949)",0.5790861086861717,2.520957015726138,4.158510476182051e-05,0.25
