seed,result,success,steps,episode_return,final_object_goal_distance,trajectory_path,schema_version,prior_success,prior_steps,return_delta,final_distance_delta
100,success,True,62,160.62487943367552,0.04802234756554523,outputs\day2_5\schema_v2_trajectories\success_x_positive_0.145_seed100.jsonl,2,True,62,0.0,0.0
148,failure,False,500,127.7693019448989,0.2464877377635583,outputs\day2_5\schema_v2_trajectories\failure_x_positive_0.145_seed148.jsonl,2,False,500,0.0,0.0
135,near_success,False,500,583.9347238367337,0.07652443204153617,outputs\day2_5\schema_v2_trajectories\near_success_x_positive_0.145_seed135.jsonl,2,False,500,0.0,0.0
