experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,probe_steps,eligible_first_attempt,first_attempt_index,first_verification_status,first_verification_steps,first_final_object_goal_distance,first_observed_progress,second_decision_required,second_decision_index,ineligibility_reason,online_steps_before_optional_second,candidate_id,paired_second_verification_seed,verification_status,verification_success,verification_steps,final_object_goal_distance,observed_progress,outcome_timestamp_ns
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,25,2874,fault_05,False,True,500,0.2473845290542956,64,True,12,INCONCLUSIVE,500,0.18471494689452772,0.06266958215976787,True,7,,1064,INDEPENDENT_STOCHASTIC_RETRY,2343533758,ACCEPTED,True,107,0.04828658100422933,0.19909794805006625,168220839727300
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,26,2875,fault_05,False,True,500,0.21270302952317793,64,True,13,REJECTED,500,0.39522907485696634,-0.1825260453337884,True,8,,1064,BOUNDED_PLANAR_COMPENSATION,2377780498,REJECTED,False,500,0.2171724145604595,-0.004469385037281559,168226537566200
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,26,2875,fault_05,False,True,500,0.21270302952317793,64,True,13,REJECTED,500,0.39522907485696634,-0.1825260453337884,True,8,,1064,INDEPENDENT_STOCHASTIC_RETRY,2377780498,INCONCLUSIVE,False,500,0.10877874150419654,0.10392428801898139,168227978306300
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,27,2876,fault_05,False,True,500,0.3170742357886095,64,True,14,REJECTED,500,0.45349687350983964,-0.13642263772123014,True,9,,1064,BOUNDED_PLANAR_COMPENSATION,1166205698,REJECTED,False,500,0.5370318605318968,-0.21995762474328728,168233842357400
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,27,2876,fault_05,False,True,500,0.3170742357886095,64,True,14,REJECTED,500,0.45349687350983964,-0.13642263772123014,True,9,,1064,INDEPENDENT_STOCHASTIC_RETRY,1166205698,ACCEPTED,True,87,0.04937482561948446,0.267699410169125,168234897858900
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,28,2877,fault_05,False,True,500,0.2543479703617331,64,True,15,REJECTED,500,0.2653990105339417,-0.011051040172208593,True,10,,1064,BOUNDED_PLANAR_COMPENSATION,76575243,REJECTED,False,500,0.27048650606024743,-0.01613853569851431,168240659547900
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,28,2877,fault_05,False,True,500,0.2543479703617331,64,True,15,REJECTED,500,0.2653990105339417,-0.011051040172208593,True,10,,1064,INDEPENDENT_STOCHASTIC_RETRY,76575243,ACCEPTED,True,63,0.047163557258332794,0.20718441310340033,168241664902500
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,42,2891,fault_05,False,True,500,0.30122646433101075,64,True,22,INCONCLUSIVE,500,0.20888386643902998,0.09234259789198077,True,11,,1064,BOUNDED_PLANAR_COMPENSATION,1898187986,INCONCLUSIVE,False,500,0.20888702378100238,0.09233944055000837,168279008729300
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,42,2891,fault_05,False,True,500,0.30122646433101075,64,True,22,INCONCLUSIVE,500,0.20888386643902998,0.09234259789198077,True,11,,1064,INDEPENDENT_STOCHASTIC_RETRY,1898187986,ACCEPTED,True,130,0.04930169880266343,0.2519247655283473,168280087304600
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,43,2892,fault_05,False,True,500,0.34644053902474947,64,True,23,REJECTED,500,0.3626118783449166,-0.016171339320167122,True,12,,1064,BOUNDED_PLANAR_COMPENSATION,188325974,INCONCLUSIVE,False,500,0.16631622668144222,0.18012431234330725,168285801172100
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,43,2892,fault_05,False,True,500,0.34644053902474947,64,True,23,REJECTED,500,0.3626118783449166,-0.016171339320167122,True,12,,1064,INDEPENDENT_STOCHASTIC_RETRY,188325974,ACCEPTED,True,201,0.04874332134659166,0.2976972176781578,168286958565300
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,57,2906,fault_05,False,True,500,0.22333612633533212,64,True,28,REJECTED,500,0.2291492257374771,-0.005813099402144972,True,13,,1064,BOUNDED_PLANAR_COMPENSATION,482767654,ACCEPTED,True,93,0.049001455314097116,0.174334671021235,168318178307900
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,57,2906,fault_05,False,True,500,0.22333612633533212,64,True,28,REJECTED,500,0.2291492257374771,-0.005813099402144972,True,13,,1064,INDEPENDENT_STOCHASTIC_RETRY,482767654,ACCEPTED,True,79,0.04878996161593838,0.17454616471939374,168319216982200
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,61,2910,fault_05,False,True,500,0.14148532781307252,64,True,31,INCONCLUSIVE,500,0.13373424221626792,0.007751085596804597,True,14,,1064,BOUNDED_PLANAR_COMPENSATION,2916784308,REJECTED,False,500,0.26282915572402427,-0.12134382791095175,168334271430300
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,61,2910,fault_05,False,True,500,0.14148532781307252,64,True,31,INCONCLUSIVE,500,0.13373424221626792,0.007751085596804597,True,14,,1064,INDEPENDENT_STOCHASTIC_RETRY,2916784308,ACCEPTED,True,120,0.049050335723431204,0.09243499208964132,168335338031500
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,62,2911,fault_05,False,True,500,0.1334476106173111,64,True,32,REJECTED,500,0.3353415525018864,-0.2018939418845753,True,15,,1064,BOUNDED_PLANAR_COMPENSATION,12542722,ACCEPTED,True,80,0.04624445408524381,0.08720315653206731,168340715242900
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,62,2911,fault_05,False,True,500,0.1334476106173111,64,True,32,REJECTED,500,0.3353415525018864,-0.2018939418845753,True,15,,1064,INDEPENDENT_STOCHASTIC_RETRY,12542722,ACCEPTED,True,76,0.048474869908636614,0.0849727407086745,168341718034300
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,71,2920,fault_05,False,True,500,0.18687236222167164,64,True,37,REJECTED,500,0.3006102583556437,-0.11373789613397206,True,16,,1064,BOUNDED_PLANAR_COMPENSATION,1480967320,REJECTED,False,500,0.6714448801066943,-0.4845725178850227,168367857461700
