experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,probe_steps,eligible_first_attempt,first_attempt_index,first_verification_status,first_verification_steps,first_final_object_goal_distance,first_observed_progress,second_decision_required,second_decision_index,ineligibility_reason,online_steps_before_optional_second
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,20,2869,fault_05,False,True,500,0.2824348565453539,64,True,10,INCONCLUSIVE,500,0.24628784767435233,0.03614700887100156,True,5,,1064
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,21,2870,fault_05,True,False,93,0.048258945884681353,0,False,0,NOT_EXECUTED,0,,,False,0,initial_success,93
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,22,2871,fault_05,False,True,500,0.18433450639446047,64,True,11,REJECTED,500,0.32539879429704777,-0.1410642879025873,True,6,,1064
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,23,2872,fault_05,True,False,65,0.044948585346890425,0,False,0,NOT_EXECUTED,0,,,False,0,initial_success,65
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,24,2873,fault_05,True,False,138,0.046306982744363935,0,False,0,NOT_EXECUTED,0,,,False,0,initial_success,138
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,25,2874,fault_05,False,True,500,0.2473845290542956,64,True,12,INCONCLUSIVE,500,0.18471494689452772,0.06266958215976787,True,7,,1064
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,26,2875,fault_05,False,True,500,0.21270302952317793,64,True,13,REJECTED,500,0.39522907485696634,-0.1825260453337884,True,8,,1064
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,27,2876,fault_05,False,True,500,0.3170742357886095,64,True,14,REJECTED,500,0.45349687350983964,-0.13642263772123014,True,9,,1064
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,28,2877,fault_05,False,True,500,0.2543479703617331,64,True,15,REJECTED,500,0.2653990105339417,-0.011051040172208593,True,10,,1064
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,29,2878,fault_05,False,True,500,0.2769446656657944,64,True,16,ACCEPTED,74,0.04845639640418353,0.22848826926161087,False,0,,638
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,30,2879,fault_05,True,False,206,0.04805291281852259,0,False,0,NOT_EXECUTED,0,,,False,0,initial_success,206
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,31,2880,fault_05,True,False,70,0.0480048079799758,0,False,0,NOT_EXECUTED,0,,,False,0,initial_success,70
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,32,2881,fault_05,False,True,500,0.3049196116948181,64,True,17,ACCEPTED,62,0.0485418879603951,0.256377723734423,False,0,,626
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,33,2882,fault_05,False,True,500,0.280552260551455,64,True,18,ACCEPTED,97,0.04857643984805149,0.2319758207034035,False,0,,661
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,34,2883,fault_05,False,True,500,0.43424151988187176,64,True,19,ACCEPTED,88,0.04815488202468699,0.3860866378571848,False,0,,652
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,35,2884,fault_05,True,False,119,0.04776639757162021,0,False,0,NOT_EXECUTED,0,,,False,0,initial_success,119
acr_resonance_20260802T142610Z_af2acb3b380b,747da99f8929aa9c17159c4af220ee5afdfab4ca93866d673bf778debd5ca839,af2acb3b380b498fbf1f2853b5ec42f53035e95f,36,2885,fault_05,False,True,500,0.14591475593007658,64,True,20,ACCEPTED,148,0.048595541916745366,0.09731921401333121,False,0,,712
