experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,probe_steps,eligible_first_attempt,first_verification_status,first_verification_steps,first_final_object_goal_distance,first_observed_progress,second_decision_required,second_decision_index,ineligibility_reason,online_steps_before_optional_second
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,148,3647,fault_05,False,500,0.22699803530391616,64,True,ACCEPTED,151,0.04810110359266802,0.17889693171124815,False,0,,715
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,149,3648,fault_05,False,500,0.19682799729537653,64,True,REJECTED,500,0.32485614996274714,-0.1280281526673706,True,20,,1064
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,150,3649,fault_05,True,135,0.048220932348965274,0,False,NOT_EXECUTED,0,,,False,0,initial_success,135
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,151,3650,fault_05,False,500,0.6209343066004352,64,True,ACCEPTED,170,0.04914710824609458,0.5717871983543407,False,0,,734
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,152,3651,fault_05,True,60,0.048738223501948494,0,False,NOT_EXECUTED,0,,,False,0,initial_success,60
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,153,3652,fault_05,True,171,0.049973059578394825,0,False,NOT_EXECUTED,0,,,False,0,initial_success,171
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,154,3653,fault_05,True,123,0.048722176582990634,0,False,NOT_EXECUTED,0,,,False,0,initial_success,123
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,155,3654,fault_05,True,137,0.04935149328849099,0,False,NOT_EXECUTED,0,,,False,0,initial_success,137
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,156,3655,fault_05,True,216,0.0480737460716932,0,False,NOT_EXECUTED,0,,,False,0,initial_success,216
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,157,3656,fault_05,False,500,0.3843939985040674,64,True,INCONCLUSIVE,500,0.329324776274674,0.05506922222939342,True,21,,1064
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,158,3657,fault_05,True,122,0.048289403999692546,0,False,NOT_EXECUTED,0,,,False,0,initial_success,122
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,159,3658,fault_05,False,500,0.1442922070908594,64,True,ACCEPTED,99,0.04820111364062089,0.09609109345023852,False,0,,663
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,160,3659,fault_05,False,500,0.0815731212412706,64,True,ACCEPTED,134,0.04758466483055134,0.03398845641071926,False,0,,698
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,161,3660,fault_05,False,500,0.16002203115499422,64,True,ACCEPTED,146,0.04704944056995634,0.11297259058503789,False,0,,710
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,162,3661,fault_05,False,500,0.24176218532004468,64,True,REJECTED,500,0.2934457117104258,-0.05168352639038115,True,22,,1064
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,163,3662,fault_05,True,114,0.04771434544958798,0,False,NOT_EXECUTED,0,,,False,0,initial_success,114
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,164,3663,fault_05,True,90,0.047934542912534246,0,False,NOT_EXECUTED,0,,,False,0,initial_success,90
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,165,3664,fault_05,False,500,0.26774520048520867,64,True,REJECTED,500,0.2750109763526503,-0.007265775867441648,True,23,,1064
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,166,3665,fault_05,False,500,0.22104452047746084,64,True,ACCEPTED,85,0.04612049417743108,0.17492402630002976,False,0,,649
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,167,3666,fault_05,True,133,0.047875799285515955,0,False,NOT_EXECUTED,0,,,False,0,initial_success,133
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,168,3667,fault_05,True,89,0.04954074333265787,0,False,NOT_EXECUTED,0,,,False,0,initial_success,89
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,169,3668,fault_05,True,211,0.0459192908805162,0,False,NOT_EXECUTED,0,,,False,0,initial_success,211
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,170,3669,fault_05,True,74,0.04821929833831961,0,False,NOT_EXECUTED,0,,,False,0,initial_success,74
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,171,3670,fault_05,False,500,0.2772090273046348,64,True,REJECTED,500,0.3254293658322168,-0.04822033852758201,True,24,,1064
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,172,3671,fault_05,True,80,0.04930411351779474,0,False,NOT_EXECUTED,0,,,False,0,initial_success,80
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,173,3672,fault_05,False,500,0.4042922464443667,64,True,ACCEPTED,298,0.04834449379194291,0.3559477526524238,False,0,,862
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,174,3673,fault_05,False,500,0.224671569314337,64,True,INCONCLUSIVE,500,0.21532304635714014,0.009348522957196848,True,25,,1064
