condition_id,seed,success,steps,final_object_goal_distance
fault_01,300,False,500,0.22793482127180584
fault_01,301,True,68,0.04621060776738993
fault_01,302,False,500,0.12357777270323761
fault_01,303,False,500,0.2862823024826286
fault_01,304,False,500,0.20535549027790148
fault_01,305,False,500,0.27177500013245587
fault_01,306,False,500,0.5131850387407056
fault_01,307,False,500,0.18201318128259983
fault_01,308,True,63,0.04633989869528741
fault_01,309,True,59,0.04632582265369495
fault_02,300,False,500,0.1972557987664903
fault_02,301,False,500,0.07227923831046026
fault_02,302,True,136,0.04896257503697063
fault_02,303,True,74,0.04782272520831159
fault_02,304,True,68,0.04775693170570036
fault_02,305,True,73,0.047900019568699104
fault_02,306,False,500,0.3171975937653005
fault_02,307,True,70,0.04821478211302121
fault_02,308,False,500,0.13664274197272158
fault_02,309,False,500,0.17103089976099725
fault_03,300,False,500,0.32652019042233815
fault_03,301,True,81,0.0483044694423676
fault_03,302,False,500,0.24123156633610046
fault_03,303,False,500,0.09727554243971369
fault_03,304,False,500,0.2627390092828181
fault_03,305,False,500,0.2611577078469586
fault_03,306,False,500,0.32035717868054864
fault_03,307,True,104,0.04952482299270459
fault_03,308,False,500,0.2170335363260754
fault_03,309,False,500,0.18420678313475725
fault_04,300,False,500,0.28918288484122034
fault_04,301,False,500,0.22141807278142436
fault_04,302,False,500,0.21306656719814976
fault_04,303,False,500,0.4588399289601876
fault_04,304,False,500,0.21879166438532205
fault_04,305,False,500,0.23324556761230575
fault_04,306,False,500,0.3165739137264858
fault_04,307,False,500,0.20627687881054202
fault_04,308,False,500,0.2024886073750004
fault_04,309,False,500,0.16983626115733358
fault_05,300,False,500,0.373666359430573
fault_05,301,True,108,0.04672335274287087
fault_05,302,True,96,0.04888866139260448
fault_05,303,False,500,0.29836750486233127
fault_05,304,False,500,0.32863188580820163
fault_05,305,True,124,0.0460697713299824
fault_05,306,False,500,0.3471913013624153
fault_05,307,True,150,0.0492824234480902
fault_05,308,True,61,0.04781949858467375
fault_05,309,True,67,0.04621811259457585
