experiment_run_id,manifest_id,source_git_commit,episode_id,seed,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,selection_always_compensation,selection_always_retry,selection_state_only_nearest_accepted,selection_v2_fixed_coverage_aware,selection_frozen_single_feature_selector,selection_deterministic_action_conditional,candidate_id,verification_status,verification_success,verification_steps,final_object_goal_distance,observed_progress,paired_verification_seed,outcome_timestamp_ns
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,11,1110,False,True,500,0.06918020501920878,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,57,0.04439138563935872,0.024788819379850065,2533765422,154323815064200
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,11,1110,False,True,500,0.06918020501920878,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.06918020501920878,0.0,2533765422,154325301697700
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,13,1112,False,True,500,0.19377845762137982,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,59,0.049419867266966164,0.14435859035441367,3768075144,154330451559200
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,13,1112,False,True,500,0.19377845762137982,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.19377845762137982,0.0,3768075144,154331924588500
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,14,1113,False,True,500,0.24207020012006286,,,,,,,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.23619359113392946,0.0058766089861334025,3184472748,154336567541400
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,14,1113,False,True,500,0.24207020012006286,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.24207020012006286,0.0,3184472748,154338053263900
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,17,1116,False,True,500,0.5249343011459561,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,63,0.04984207457029118,0.4750922265756649,3085714514,154344773421900
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,17,1116,False,True,500,0.5249343011459561,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.5249343011459561,0.0,3085714514,154346372606100
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,18,1117,False,True,500,0.21881077546127561,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,62,0.04736881901254093,0.17144195644873467,3474919768,154350420365800
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,18,1117,False,True,500,0.21881077546127561,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.21881077546127561,0.0,3474919768,154351899565500
