experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,eligible_state,ineligibility_reason
acr_feedback_sufficiency_20260803T030940Z_cc72bb3b562e,a7fb1a8801dc6691b8a4f427795454c21653623028e3bfce491d6433c33ff952,cc72bb3b562e8accf87be1945c336a0ff6d024e2,1,3300,fault_05,True,97,0.049072786293294084,False,initial_success
acr_feedback_sufficiency_20260803T030940Z_cc72bb3b562e,a7fb1a8801dc6691b8a4f427795454c21653623028e3bfce491d6433c33ff952,cc72bb3b562e8accf87be1945c336a0ff6d024e2,2,3301,fault_05,True,108,0.046823479620322496,False,initial_success
acr_feedback_sufficiency_20260803T030940Z_cc72bb3b562e,a7fb1a8801dc6691b8a4f427795454c21653623028e3bfce491d6433c33ff952,cc72bb3b562e8accf87be1945c336a0ff6d024e2,3,3302,fault_05,True,151,0.04738846941088713,False,initial_success
