experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,decision_required,paired_comparable,ineligibility_reason,probe_steps,selected_skill,probe_consistency_score,evaluator_collection_steps
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,34,3916,fault_05,True,99,0.04971393683593699,False,False,initial_success,0,,,99
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,35,3917,fault_01,False,500,0.5273493503932789,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1135
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,36,3917,fault_05,True,141,0.049089396194439985,False,False,initial_success,0,,,141
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,37,3918,fault_01,True,69,0.048154623421414085,False,False,initial_success,0,,,69
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,38,3918,fault_05,True,145,0.04960480943157632,False,False,initial_success,0,,,145
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,39,3919,fault_01,False,500,0.054962925351611853,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1162
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,40,3919,fault_05,True,116,0.04876902041174867,False,False,initial_success,0,,,116
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,41,3920,fault_01,True,65,0.04820646266408548,False,False,initial_success,0,,,65
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,42,3920,fault_05,False,500,0.2647138662911969,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.30702047334592947,798
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,43,3921,fault_01,True,56,0.04508606840832214,False,False,initial_success,0,,,56
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,44,3921,fault_05,True,73,0.049497330590318425,False,False,initial_success,0,,,73
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,45,3922,fault_01,True,255,0.04982271867407943,False,False,initial_success,0,,,255
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,46,3922,fault_05,True,299,0.047200836105814006,False,False,initial_success,0,,,299
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,47,3923,fault_01,False,500,0.28581291948184706,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1130
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,48,3923,fault_05,True,143,0.0486058354294799,False,False,initial_success,0,,,143
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,49,3924,fault_01,False,500,0.26727026426728023,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1131
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,50,3924,fault_05,True,73,0.04557979282696222,False,False,initial_success,0,,,73
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,51,3925,fault_01,True,52,0.047086946405296,False,False,initial_success,0,,,52
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,52,3925,fault_05,True,153,0.04987677255367204,False,False,initial_success,0,,,153
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,53,3926,fault_01,False,500,0.32360936156817643,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1132
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,54,3926,fault_05,True,152,0.047150423784352274,False,False,initial_success,0,,,152
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,55,3927,fault_01,False,500,0.07435334404429567,True,True,,64,BOUNDED_PLANAR_COMPENSATION,1.832643195433386e-15,1129
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,56,3927,fault_05,True,86,0.04908129686673654,False,False,initial_success,0,,,86
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,57,3928,fault_01,False,500,0.2549501339141484,True,True,,64,BOUNDED_PLANAR_COMPENSATION,1.832643195433386e-15,1127
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,58,3928,fault_05,True,67,0.04904409735371119,False,False,initial_success,0,,,67
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,59,3929,fault_01,False,500,0.24586114935866935,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1128
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,60,3929,fault_05,True,76,0.046044584761501736,False,False,initial_success,0,,,76
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,61,3930,fault_01,False,500,0.2576866993672188,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1564
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,62,3930,fault_05,False,500,0.252418529089561,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,1.292393340153651,1185
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,63,3931,fault_01,True,58,0.047532353388885534,False,False,initial_success,0,,,58
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,64,3931,fault_05,False,500,0.15172736148573132,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.349219983974376,1233
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,65,3932,fault_01,True,60,0.04817527075298004,False,False,initial_success,0,,,60
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,66,3932,fault_05,True,102,0.045837154171727346,False,False,initial_success,0,,,102
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,67,3933,fault_01,False,500,0.06924536991842856,True,True,,64,BOUNDED_PLANAR_COMPENSATION,1.832643195433386e-15,1153
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,68,3933,fault_05,True,71,0.0481689863223019,False,False,initial_success,0,,,71
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,69,3934,fault_01,False,500,0.13845906026332833,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1122
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,70,3934,fault_05,True,120,0.04984790590714843,False,False,initial_success,0,,,120
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,71,3935,fault_01,False,500,0.20790079752889376,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1131
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,72,3935,fault_05,True,73,0.04840023176311138,False,False,initial_success,0,,,73
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,73,3936,fault_01,True,69,0.04851812744280606,False,False,initial_success,0,,,69
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,74,3936,fault_05,False,500,0.3908801377237744,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.4888298150144503,1564
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,75,3937,fault_01,True,60,0.049412741544318316,False,False,initial_success,0,,,60
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,76,3937,fault_05,False,500,0.253025608654427,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.39675086870117066,1158
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,77,3938,fault_01,True,237,0.04679807097674297,False,False,initial_success,0,,,237
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,78,3938,fault_05,False,500,0.29080030518895833,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.4580896572166106,1169
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,79,3939,fault_01,True,57,0.046866428636344985,False,False,initial_success,0,,,57
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,80,3939,fault_05,False,500,0.25107379361830096,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.2086716023302194,1564
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,81,3940,fault_01,False,500,0.23031139682116764,True,True,,64,BOUNDED_PLANAR_COMPENSATION,1.832643195433386e-15,1122
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,82,3940,fault_05,True,72,0.04856665071832111,False,False,initial_success,0,,,72
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,83,3941,fault_01,False,500,0.2979572786369814,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1137
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,84,3941,fault_05,True,82,0.04724173441552474,False,False,initial_success,0,,,82
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,85,3942,fault_01,False,500,0.16754156215894456,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1130
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,86,3942,fault_05,False,500,0.15949362739049883,True,True,,64,INDEPENDENT_STOCHASTIC_RETRY,0.639475544329575,1564
acr_persistent_regime_20260803T061354Z_282b9c5e76c8,193a741a195085e255c7baac20ce22207aa268371dd425df56f55fa73e7d1129,282b9c5e76c82fc99d1b48dceedb4e265896d676,87,3943,fault_01,False,500,0.2574661449342447,True,True,,64,BOUNDED_PLANAR_COMPENSATION,0.0,1126
